symbol,price,ram_raw,exp_slope,ret_12_1,ret_3m,stoch_k,rsi,cci,wpr,ma_score,stoch_d,atr,above_ma25,above_ma50,above_ma100,above_ma200,vol_ratio,high_52w_pct,ret_1w,weekly_exp_slope,weekly_rsi,vol_surge,price_vs_ema20,ram_score,rank_ram_score,rank_exp_slope,rank_ret_12_1,rank_ret_3m,rank_stoch_k,rank_rsi,rank_cci,rank_wpr,rank_ma_score,rank_vol_ratio,momentum_score,weekly_rank_ret_1w,weekly_rank_weekly_exp_slope,weekly_rank_weekly_rsi,weekly_rank_vol_surge,weekly_rank_price_vs_ema20,weekly_score,market,rank_change,name,sector
PCT.SI,2.240000009536743,2.1181694255623333,3.0729393173040087,1.3532405408320733,0.916485791697923,54.94504976266874,66.19718357155043,25.885597860785293,-45.05495023733126,4.0,67.03295791580611,0.10333334604899089,1,1,1.0,1.0,1.1022629581497139,-0.15471700795310372,0.027522908689077363,30.616479032175835,53.40908721458861,1.6929971603245062,0.046177734793778846,1.6980476406491887,86.4963503649635,96.86940966010734,91.51459854014598,98.21428571428571,52.18165627782725,80.32056990204809,58.5040071237756,47.90739091718611,85.67615658362989,68.125,76.58094250839694,78.29181494661923,95.1067615658363,60.76642335766424,93.40463458110517,89.59074733096085,83.43207635643716,SG,21.0,PC Partner Group Limited,Technology
AWX.SI,9.569999694824219,7.929011441284571,226.39417216499254,5.010674578442542,2.0727649043821295,48.124986216420965,53.2520306292392,-18.65557816897544,-51.875013783579035,4.0,65.83333383003888,0.3719998677571615,1,1,1.0,1.0,1.0906416645035928,-0.07980768789906456,-0.013402073917233026,-0.00018598344491782873,47.00460444693679,1.3165540076284994,0.047598097492139724,4.0,99.58941605839416,100.0,98.17518248175182,99.64285714285714,46.838824577025825,49.68833481745325,43.722172751558325,53.25022261798753,85.67615658362989,65.625,74.22081670306581,41.81494661921708,50.355871886120994,51.82481751824818,84.49197860962568,90.12455516014235,63.722433958670855,SG,37.0,AEM Holdings Ltd.,Technology
O39.SI,23.940000534057617,2.8885510930772527,0.3977257338980514,0.4055321853342615,0.17902394146256428,60.402668240336205,65.25678591905589,76.41926622726702,-39.597331759663795,4.0,75.75921107420524,0.22200024922688802,1,1,1.0,1.0,1.067589035002784,-0.024052186550043375,0.03367878634648025,0.7267797964680262,69.89796663114718,1.60785,0.026895941634220932,2.098917794669065,92.15328467153284,83.54203935599284,73.90510948905109,82.76785714285714,57.969723953695464,77.91629563668745,76.31344612644702,42.11932324131789,85.67615658362989,60.89285714285714,73.32560933440688,82.47330960854093,77.66903914590748,81.38686131386861,91.97860962566845,77.93594306049823,82.28875255089675,SG,47.0,Oversea-Chinese Banking Corporation Limited,Financial Services
D05.SI,63.779998779296875,2.425807350233339,0.1483700876095829,0.3502177305692016,0.19008105868854042,70.39620344673968,72.3191671220992,73.52388735783305,-29.603796553260317,4.0,83.87775006534308,0.5393338521321615,1,1,1.0,1.0,1.0350424579769624,-0.019523508268715073,0.029872411836020518,1.646787222928864,71.07056396602752,1.0005810535375481,0.03211807238290176,1.8581278547111788,89.6897810218978,76.29695885509838,69.7992700729927,84.375,65.27159394479074,89.84861976847729,75.06678539626002,34.81745325022262,85.67615658362989,52.32142857142858,72.3163047464798,79.62633451957295,82.11743772241992,82.48175182481752,56.59536541889483,81.31672597864768,76.42752309287059,SG,48.0,DBS Group Holdings Ltd,Financial Services
HCCD.SI,3.880000114440918,,2.151903254698445,,0.5148260061684347,45.45458486258417,56.081084237646,20.565014112583352,-54.54541513741583,4.0,67.6767910296795,0.10266664822896322,1,1,1.0,1.0,,,-0.0051282001121667475,9.112725891386596,48.57142857142858,,0.018567941974043434,,,95.61717352415027,,96.07142857142857,44.879786286731964,56.45592163846839,57.257346393588605,55.20926090828139,85.67615658362989,,70.16672484375417,49.644128113879006,92.08185053380782,53.37591240875912,,70.46263345195729,66.3911311271008,SG,62.0,h CATL HK SDR 30to1,Industrials
S68.SI,21.739999771118164,2.6847780770931537,1.0971339278213148,0.5253093175880446,0.22987865895780124,47.61906924431164,58.35617798447993,-39.632732523408045,-52.38093075568836,4.0,66.52918081160304,0.2546665191650391,1,1,1.0,1.0,1.0397246679278576,-0.029464279404100013,0.013519766800184074,-0.03202668337299109,60.1398368214733,1.8124333618840924,0.001509585858695317,1.9928839626775239,91.05839416058394,91.23434704830053,79.47080291970804,87.23214285714286,46.482635796972396,62.95636687444346,36.33125556544969,53.60641139804096,85.67615658362989,53.57142857142857,68.76199417757003,68.32740213523132,41.45907473309609,70.43795620437956,94.6524064171123,53.64768683274021,65.7049052645119,SG,65.0,Singapore Exchange Limited,Financial Services
U11.SI,38.54999923706055,0.7427911829789289,7.040698449119916e-05,0.09250831132952664,0.09153848081457117,83.44369020581703,69.59250835288518,123.32724418934365,-16.55630979418296,4.0,83.66448816053072,0.21733296712239583,1,1,1.0,1.0,1.1982722002984376,-0.006443299095769239,0.022817740559484267,0.5890137721095371,71.28717919664608,1.8442874264886913,0.02220312439322214,0.9826714790342049,60.31021897810219,57.960644007155636,45.71167883211679,72.94642857142857,75.95725734639359,86.19768477292965,88.60195903829029,24.13178984861977,85.67615658362989,82.41071428571428,67.99045322643806,75.5338078291815,75.97864768683274,82.93795620437956,95.09803921568627,74.02135231316726,80.71396064984947,SG,67.0,United Overseas Bank Limited,Financial Services
HBND.SI,0.875,0.8062769703330446,0.5234772015317536,0.13163977230161916,0.19047616730626094,100.0,69.2307339617797,188.72546493111895,-0.0,4.0,100.0,0.005000003178914388,1,1,1.0,1.0,0.9241966727438469,0.0,0.04166669918904331,0.5633245082948791,,0.5616880662613523,0.026010979019662317,1.015400904932189,62.13503649635036,85.86762075134168,50.912408759124084,84.46428571428571,93.36598397150489,85.39626001780944,97.506678539626,6.723063223508459,85.67615658362989,27.142857142857142,67.91903512000377,86.38790035587188,75.62277580071174,,4.991087344028521,77.31316725978647,61.07873269009965,SG,56.0,Bank of China Limited,Financial Services
VC2.SI,1.2400000095367432,1.2159403479044744,0.9415768148824444,0.35158862246837197,0.46745558290236944,70.00003576277834,56.521732369984136,58.71966046228029,-29.99996423722166,4.0,83.33335320154352,0.016000000635782878,1,1,1.0,1.0,0.9215233522809939,-0.023622025071121988,0.042016764631988,2.8900881749085485,72.72727272727273,0.9217604069411802,0.03399105712365991,1.228570335343358,72.53649635036497,90.07155635062611,69.98175182481752,95.35714285714286,64.82635796972396,57.52448797862867,70.70347284060551,35.2626892252894,85.67615658362989,26.69642857142857,66.86365405522574,86.65480427046263,84.9644128113879,85.12773722627736,45.632798573975045,83.18505338078292,77.11296125257716,SG,47.0,Olam Group Limited,Consumer Defensive
HSMD.SI,2.5,,0.00856364926616665,,0.25,39.9999926640448,55.79710507988837,-24.709193671202698,-60.0000073359552,4.0,59.99999510936319,0.09866666793823242,1,1,1.0,1.0,1.4103655290293655,,-0.1349481282863504,0.003092727237003127,11.764694882648968,1.2233509153388709,-0.00759865517658842,,,63.77459749552773,,88.75,41.22885129118433,55.56544968833482,41.22885129118433,58.86019590382902,85.67615658362989,95.89285714285715,66.37211992456841,2.4021352313167257,57.740213523131665,9.032846715328468,78.43137254901961,43.594306049822066,38.240174813723705,SG,51.0,h SMIC HK SDR 5to1,
