symbol,price,ram_raw,ram_score,exp_slope,ret_12_1,ret_3m,stoch_k,stoch_d,rsi,cci,wpr,atr,ma_score,above_ma25,above_ma50,above_ma100,above_ma200,vol_ratio,high_52w_pct,rank_change,market,momentum_score,name,sector,ret_1w,weekly_exp_slope,weekly_rsi,vol_surge,price_vs_ema20,weekly_score
PCT.SI,2.240000009536743,2.1181694255623333,1.6980476406491887,3.0729393173040087,1.3532405408320733,0.916485791697923,54.94504976266874,67.03295791580611,66.19718357155043,25.885597860785293,-45.05495023733126,0.10333334604899089,4.0,1,1,1.0,1.0,1.1022629581497139,-0.15471700795310372,0,SG,76.58094250839694,PC Partner Group Limited,Technology,0.027522908689077363,30.616479032175835,53.40908721458861,1.6929971603245062,0.046177734793778846,83.43207635643716
AWX.SI,9.569999694824219,7.929011441284571,4.0,226.39417216499254,5.010674578442542,2.0727649043821295,48.124986216420965,65.83333383003888,53.2520306292392,-18.65557816897544,-51.875013783579035,0.3719998677571615,4.0,1,1,1.0,1.0,1.0906416645035928,-0.07980768789906456,0,SG,74.22081670306581,AEM Holdings Ltd.,Technology,-0.013402073917233026,-0.00018598344491782873,47.00460444693679,1.3165540076284994,0.047598097492139724,63.722433958670855
O39.SI,23.940000534057617,2.8885510930772527,2.098917794669065,0.3977257338980514,0.4055321853342615,0.17902394146256428,60.402668240336205,75.75921107420524,65.25678591905589,76.41926622726702,-39.597331759663795,0.22200024922688802,4.0,1,1,1.0,1.0,1.067589035002784,-0.024052186550043375,0,SG,73.32560933440688,Oversea-Chinese Banking Corporation Limited,Financial Services,0.03367878634648025,0.7267797964680262,69.89796663114718,1.60785,0.026895941634220932,82.28875255089675
D05.SI,63.779998779296875,2.425807350233339,1.8581278547111788,0.1483700876095829,0.3502177305692016,0.19008105868854042,70.39620344673968,83.87775006534308,72.3191671220992,73.52388735783305,-29.603796553260317,0.5393338521321615,4.0,1,1,1.0,1.0,1.0350424579769624,-0.019523508268715073,0,SG,72.3163047464798,DBS Group Holdings Ltd,Financial Services,0.029872411836020518,1.646787222928864,71.07056396602752,1.0005810535375481,0.03211807238290176,76.42752309287059
HCCD.SI,3.880000114440918,,,2.151903254698445,,0.5148260061684347,45.45458486258417,67.6767910296795,56.081084237646,20.565014112583352,-54.54541513741583,0.10266664822896322,4.0,1,1,1.0,1.0,,,0,SG,70.16672484375417,h CATL HK SDR 30to1,Industrials,-0.0051282001121667475,9.112725891386596,48.57142857142858,,0.018567941974043434,66.3911311271008
S68.SI,21.739999771118164,2.6847780770931537,1.9928839626775239,1.0971339278213148,0.5253093175880446,0.22987865895780124,47.61906924431164,66.52918081160304,58.35617798447993,-39.632732523408045,-52.38093075568836,0.2546665191650391,4.0,1,1,1.0,1.0,1.0397246679278576,-0.029464279404100013,0,SG,68.76199417757003,Singapore Exchange Limited,Financial Services,0.013519766800184074,-0.03202668337299109,60.1398368214733,1.8124333618840924,0.001509585858695317,65.7049052645119
U11.SI,38.54999923706055,0.7427911829789289,0.9826714790342049,7.040698449119916e-05,0.09250831132952664,0.09153848081457117,83.44369020581703,83.66448816053072,69.59250835288518,123.32724418934365,-16.55630979418296,0.21733296712239583,4.0,1,1,1.0,1.0,1.1982722002984376,-0.006443299095769239,0,SG,67.99045322643806,United Overseas Bank Limited,Financial Services,0.022817740559484267,0.5890137721095371,71.28717919664608,1.8442874264886913,0.02220312439322214,80.71396064984947
HBND.SI,0.875,0.8062769703330446,1.015400904932189,0.5234772015317536,0.13163977230161916,0.19047616730626094,100.0,100.0,69.2307339617797,188.72546493111895,-0.0,0.005000003178914388,4.0,1,1,1.0,1.0,0.9241966727438469,0.0,0,SG,67.91903512000377,Bank of China Limited,Financial Services,0.04166669918904331,0.5633245082948791,,0.5616880662613523,0.026010979019662317,61.07873269009965
VC2.SI,1.2400000095367432,1.2159403479044744,1.228570335343358,0.9415768148824444,0.35158862246837197,0.46745558290236944,70.00003576277834,83.33335320154352,56.521732369984136,58.71966046228029,-29.99996423722166,0.016000000635782878,4.0,1,1,1.0,1.0,0.9215233522809939,-0.023622025071121988,0,SG,66.86365405522574,Olam Group Limited,Consumer Defensive,0.042016764631988,2.8900881749085485,72.72727272727273,0.9217604069411802,0.03399105712365991,77.11296125257716
HSMD.SI,2.5,,,0.00856364926616665,,0.25,39.9999926640448,59.99999510936319,55.79710507988837,-24.709193671202698,-60.0000073359552,0.09866666793823242,4.0,1,1,1.0,1.0,1.4103655290293655,,0,SG,66.37211992456841,h SMIC HK SDR 5to1,,-0.1349481282863504,0.003092727237003127,11.764694882648968,1.2233509153388709,-0.00759865517658842,38.240174813723705
