symbol,price,ram_raw,exp_slope,ret_12_1,ret_3m,stoch_k,rsi,cci,wpr,ma_score,stoch_d,atr,above_ma25,above_ma50,above_ma100,above_ma200,vol_ratio,high_52w_pct,ram_score,rank_ram_score,rank_exp_slope,rank_ret_12_1,rank_ret_3m,rank_stoch_k,rank_rsi,rank_cci,rank_wpr,rank_ma_score,rank_vol_ratio,momentum_score,market,rank_change,name,sector
PCT.SI,2.240000009536743,2.1181694255623333,3.0729393173040087,1.3532405408320733,0.916485791697923,54.94504976266874,66.19718357155043,25.885597860785293,-45.05495023733126,4.0,67.03295791580611,0.10333334604899089,1,1,1.0,1.0,1.1022629581497139,-0.15471700795310372,1.6980476406491887,86.4963503649635,96.86940966010734,91.51459854014598,98.21428571428571,52.18165627782725,80.32056990204809,58.5040071237756,47.90739091718611,85.67615658362989,68.125,76.58094250839694,SG,,PC Partner Group Limited,Technology
AWX.SI,9.569999694824219,7.929011441284571,226.39417216499254,5.010674578442542,2.0727649043821295,48.124986216420965,53.2520306292392,-18.65557816897544,-51.875013783579035,4.0,65.83333383003888,0.3719998677571615,1,1,1.0,1.0,1.0906416645035928,-0.07980768789906456,4.0,99.58941605839416,100.0,98.17518248175182,99.64285714285714,46.838824577025825,49.68833481745325,43.722172751558325,53.25022261798753,85.67615658362989,65.625,74.22081670306581,SG,,AEM Holdings Ltd.,Technology
O39.SI,23.940000534057617,2.8885510930772527,0.3977257338980514,0.4055321853342615,0.17902394146256428,60.402668240336205,65.25678591905589,76.41926622726702,-39.597331759663795,4.0,75.75921107420524,0.22200024922688802,1,1,1.0,1.0,1.067589035002784,-0.024052186550043375,2.098917794669065,92.15328467153284,83.54203935599284,73.90510948905109,82.76785714285714,57.969723953695464,77.91629563668745,76.31344612644702,42.11932324131789,85.67615658362989,60.89285714285714,73.32560933440688,SG,,Oversea-Chinese Banking Corporation Limited,Financial Services
D05.SI,63.779998779296875,2.425807350233339,0.1483700876095829,0.3502177305692016,0.19008105868854042,70.39620344673968,72.3191671220992,73.52388735783305,-29.603796553260317,4.0,83.87775006534308,0.5393338521321615,1,1,1.0,1.0,1.0350424579769624,-0.019523508268715073,1.8581278547111788,89.6897810218978,76.29695885509838,69.7992700729927,84.375,65.27159394479074,89.84861976847729,75.06678539626002,34.81745325022262,85.67615658362989,52.32142857142858,72.3163047464798,SG,,DBS Group Holdings Ltd,Financial Services
HCCD.SI,3.880000114440918,,2.151903254698445,,0.5148260061684347,45.45458486258417,56.081084237646,20.565014112583352,-54.54541513741583,4.0,67.6767910296795,0.10266664822896322,1,1,1.0,1.0,,,,,95.61717352415027,,96.07142857142857,44.879786286731964,56.45592163846839,57.257346393588605,55.20926090828139,85.67615658362989,,70.16672484375417,SG,,h CATL HK SDR 30to1,Industrials
S68.SI,21.739999771118164,2.6847780770931537,1.0971339278213148,0.5253093175880446,0.22987865895780124,47.61906924431164,58.35617798447993,-39.632732523408045,-52.38093075568836,4.0,66.52918081160304,0.2546665191650391,1,1,1.0,1.0,1.0397246679278576,-0.029464279404100013,1.9928839626775239,91.05839416058394,91.23434704830053,79.47080291970804,87.23214285714286,46.482635796972396,62.95636687444346,36.33125556544969,53.60641139804096,85.67615658362989,53.57142857142857,68.76199417757003,SG,,Singapore Exchange Limited,Financial Services
U11.SI,38.54999923706055,0.7427911829789289,7.040698449119916e-05,0.09250831132952664,0.09153848081457117,83.44369020581703,69.59250835288518,123.32724418934365,-16.55630979418296,4.0,83.66448816053072,0.21733296712239583,1,1,1.0,1.0,1.1982722002984376,-0.006443299095769239,0.9826714790342049,60.31021897810219,57.960644007155636,45.71167883211679,72.94642857142857,75.95725734639359,86.19768477292965,88.60195903829029,24.13178984861977,85.67615658362989,82.41071428571428,67.99045322643806,SG,,United Overseas Bank Limited,Financial Services
HBND.SI,0.875,0.8062769703330446,0.5234772015317536,0.13163977230161916,0.19047616730626094,100.0,69.2307339617797,188.72546493111895,-0.0,4.0,100.0,0.005000003178914388,1,1,1.0,1.0,0.9241966727438469,0.0,1.015400904932189,62.13503649635036,85.86762075134168,50.912408759124084,84.46428571428571,93.36598397150489,85.39626001780944,97.506678539626,6.723063223508459,85.67615658362989,27.142857142857142,67.91903512000377,SG,,Bank of China Limited,Financial Services
VC2.SI,1.2400000095367432,1.2159403479044744,0.9415768148824444,0.35158862246837197,0.46745558290236944,70.00003576277834,56.521732369984136,58.71966046228029,-29.99996423722166,4.0,83.33335320154352,0.016000000635782878,1,1,1.0,1.0,0.9215233522809939,-0.023622025071121988,1.228570335343358,72.53649635036497,90.07155635062611,69.98175182481752,95.35714285714286,64.82635796972396,57.52448797862867,70.70347284060551,35.2626892252894,85.67615658362989,26.69642857142857,66.86365405522574,SG,,Olam Group Limited,Consumer Defensive
HSMD.SI,2.5,,0.00856364926616665,,0.25,39.9999926640448,55.79710507988837,-24.709193671202698,-60.0000073359552,4.0,59.99999510936319,0.09866666793823242,1,1,1.0,1.0,1.4103655290293655,,,,63.77459749552773,,88.75,41.22885129118433,55.56544968833482,41.22885129118433,58.86019590382902,85.67615658362989,95.89285714285715,66.37211992456841,SG,,h SMIC HK SDR 5to1,
