symbol,price,ram_raw,ram_score,exp_slope,ret_12_1,ret_3m,stoch_k,stoch_d,rsi,cci,wpr,atr,ma_score,above_ma25,above_ma50,above_ma100,above_ma200,vol_ratio,high_52w_pct,rank_change,market,momentum_score,name,sector,ret_1w,weekly_exp_slope,weekly_rsi,vol_surge,price_vs_ema20,weekly_score
VGL.NZ,2.2200000286102295,-0.9550403086813624,0.526009807987299,0.3367693340840344,-0.4269972842614055,0.20652173279251196,36.00001068115438,40.80000701904428,55.8593810390472,-46.00432563477189,-63.99998931884562,0.08533329963684082,3.0,1,1,1.0,0.0,1.3369767940045147,-0.4,0,NZ,52.809918902026745,Vista Group International Limited,Technology,-0.15267170779417671,-0.004747483186785579,2.3809510293726106,0.653319949037997,-0.011965183146444014,20.403065530443676
FPH.NZ,37.18000030517578,-0.08688786350799078,0.6899598030167035,-0.1310441591461054,-0.02271881412761656,-0.09537708794353283,89.05379926905013,85.21954446328596,75.26255533981966,59.887731117227034,-10.946200730949867,0.6580001831054687,2.0,1,1,0.0,0.0,1.2393561377951785,-0.09822942716532646,0,NZ,52.24709346225681,Fisher & Paykel Healthcare Corporation Limited,Healthcare,-0.015620866969479064,2.6937614106171726,29.932036340705793,1.5371134176151344,0.03158651732508355,64.92890838960204
HLG.NZ,9.850000381469727,1.7000513884570436,1.4804788056150402,0.04218779534948617,0.3918591055114513,-0.010441433238137732,12.500074505728994,19.26229435826451,34.93975765180083,-43.83038705625664,-87.49992549427101,0.11399993896484376,2.0,0,0,1.0,1.0,1.0127405772595486,-0.05741621423413246,0,NZ,52.03100933234127,Hallenstein Glasson Holdings Limited,Consumer Cyclical,0.002034634579745953,-0.0023777363719577173,51.612942920955646,0.9211639777162144,-0.00971975610509812,50.023773989472616
VHP.NZ,1.8899999856948853,0.13816981641286172,0.750609626368196,-0.05112659699654742,0.03183976345231132,-0.005000705716922127,100.0,97.43589978716557,62.081564373839235,85.03138794458063,-0.0,0.028971028327941895,3.0,1,1,1.0,0.0,0.9756186691716786,-0.16095497159429184,0,NZ,52.029187666676094,Vital Healthcare Property Trust,Real Estate,0.00265251737767902,0.5908163224095432,52.17391304347826,0.567373333324378,0.020639157878152403,54.0331262704129
AIA.NZ,8.329999923706055,0.5845587000248919,0.9091150518997702,-0.011013494805698059,0.10639218846269549,-0.060948828244561604,100.0,75.95819976675445,47.70641359011959,97.76002585681779,-0.0,0.07333335876464844,3.0,1,1,0.0,1.0,1.0003368588685158,-0.08350242286464005,0,NZ,51.19602927256501,Auckland International Airport Limited,Industrials,0.014616307551950536,0.06520476291464941,73.07696539986576,2.4871881800563282,0.009152659374138228,76.06808679260467
NZM.NZ,1.149999976158142,0.015363711993664524,0.7162539201503746,0.007279209507327881,0.0038819230009461414,0.004366703567751484,84.61538461538461,52.93040293040293,48.648648648648646,127.70270270270296,-15.384615384615385,0.012999987602233887,4.0,1,1,1.0,1.0,0.5785496592611031,-0.02398224270528604,0,NZ,50.457609295282694,NZME Limited,Communication Services,0.050228261288466136,0.087671578107118,,1.0185257023119711,0.02596483770176805,73.3802992241866
TRA.NZ,8.119999885559082,2.4144398889382352,1.8522127659281309,0.010520728428040313,0.47490563075181447,-0.01608208370962161,15.872946191504113,5.290982063834686,22.60870430554715,-70.09330888745453,-84.12705380849589,0.0800000508626302,1.0,0,0,0.0,1.0,1.0492079574556596,-0.11834963605572313,0,NZ,50.25401351344543,Turners Automotive Group Limited,Consumer Cyclical,-0.009756088483765968,-0.4722477739426405,39.4736710017116,0.8829574016158783,-0.029843718653694173,32.93723700117475
CNU.NZ,9.460000038146973,1.6475258036517835,1.4531469775631207,0.22415053575433977,0.27802311634500065,0.024679312828995048,0.0,1.0416418313743065,29.71010336322668,-119.5391764748701,-100.0,0.09333324432373047,1.0,0,0,0.0,1.0,1.0606814710728258,-0.0770731670100514,0,NZ,50.07925447682684,Chorus Limited,Communication Services,-0.0327198060901176,-0.7932233294140038,5.55543781756144,1.5127941797042017,-0.03441816810192455,29.850660053284702
SKT.NZ,3.109999895095825,0.8909102543199567,1.0594400598311915,0.00043610019173586913,0.25747778336070515,-0.03168497460158648,17.64703407420705,25.4902070781302,43.13724115233725,-58.82355507768054,-82.35296592579296,0.03666667938232422,0.0,0,0,0.0,0.0,1.445384227903865,-0.09623933199107071,0,NZ,49.91531175334507,SKY Network Television Limited,Communication Services,-0.012698475892249372,-0.0015778657018000722,41.66662527455388,0.6933936040219585,-0.014345943925352267,36.958513782378205
SAN.NZ,7.210000038146973,1.6817249319742507,1.4709425851379951,0.004830349925048588,0.4236938172072622,-0.08705936877655718,0.0,7.326837588891919,28.530239429615776,-165.17124960499814,-100.0,0.12039464314778646,1.0,0,0,0.0,1.0,2.2833273731377224,-0.10722246574721284,0,NZ,49.60224551496379,Sanford Limited,Consumer Defensive,-0.019047601129539626,-0.43303111455964577,38.33334260516844,73.6003644974573,-0.037597266885764036,42.772781748347455
VCT.NZ,4.949999809265137,1.3035070564801048,1.2741359055456716,0.16918132368481284,0.278771768222698,0.07302499672590423,2.77770787112156,0.9259026237072151,39.99997880722843,-105.28021373693048,-97.22229212887844,0.06466662089029948,3.0,0,1,1.0,1.0,0.7207902640643127,-0.06603780544792737,0,NZ,49.281941787043394,Vector Limited,Utilities,-0.01980205498867016,-0.500742125333959,8.333134650994609,0.9161733037838788,-0.013162800592925405,28.183771015886276
BGP.NZ,4.570000171661377,-0.017390844881120367,0.7076155090798626,-0.026820995993033333,-0.004977351029668564,-0.006658631340528909,58.13955809375953,44.092489761216406,36.585363962572536,28.94746666139621,-41.86044190624047,0.08866662979125976,1.0,0,1,0.0,0.0,1.306228447906123,-0.23534668154381388,0,NZ,46.509790360233055,Briscoe Group Limited,Consumer Cyclical,0.031602787527704734,1.896105039760949,62.96299566784581,0.729937405233078,0.004751265015266348,62.34893468329153
NZL.NZ,0.949999988079071,0.1835960355506231,0.7641679921992554,-0.11719015577368286,0.040050915412588095,-0.018404052180227004,90.54933417453415,74.7982244654244,62.12325176817364,88.65056071414105,-9.450665825465853,0.010789883136749268,2.0,1,1,0.0,0.0,0.6244229953954405,-0.12264425762043396,0,NZ,46.259953593292245,New Zealand Rural Land Company Limited,Real Estate,0.0,0.10466573027245758,50.0,0.29701109825085015,0.02129929113722473,50.277125212479234
