symbol,price,ram_raw,exp_slope,ret_12_1,ret_3m,stoch_k,rsi,cci,wpr,ma_score,stoch_d,atr,above_ma25,above_ma50,above_ma100,above_ma200,vol_ratio,high_52w_pct,ram_score,rank_ram_score,rank_exp_slope,rank_ret_12_1,rank_ret_3m,rank_stoch_k,rank_rsi,rank_cci,rank_wpr,rank_ma_score,rank_vol_ratio,momentum_score,market,rank_change,name,sector
PEB.NZ,0.30000001192092896,1.081662592491821,0.03651612815116184,0.8333333074632621,0.5151515835682337,100.0,62.49999689559232,202.45106881946964,-0.0,4.0,75.61904944854251,0.014333336551984151,1,1,1.0,1.0,2.0144007282371588,0.0,1.1586985474186131,70.07299270072993,68.78354203935599,86.3138686131387,96.16071428571429,93.36598397150489,71.68299198575245,98.93143365983971,6.723063223508459,85.67615658362989,99.55357142857143,77.72643184917459,NZ,,Pacific Edge Limited,Healthcare
IFT.NZ,15.420000076293945,1.5356129515908976,1.7479490465940555,0.47008150090642475,0.434418611748274,34.0909263319198,52.316077285557114,-23.80027906731827,-65.9090736680802,4.0,21.21213434812937,0.24600003560384115,1,1,1.0,1.0,1.2578448378156197,-0.03624999523162842,1.3949128267075226,79.65328467153284,94.18604651162791,76.91605839416059,94.28571428571428,36.95458593054319,48.08548530721282,41.585040071237756,63.13446126447017,85.67615658362989,88.30357142857143,70.8780404448701,NZ,,Infratil Limited,Industrials
FCG.NZ,4.460000038146973,2.171118368969256,0.6079591067891279,0.5462620610761675,0.13934744988532288,100.0,69.99996821087633,98.98997196774864,-0.0,4.0,97.61910438543013,0.02000001271565755,1,1,1.0,1.0,0.6320378657246777,-0.08418888235046451,1.7255997644778776,87.13503649635037,87.20930232558139,80.38321167883211,78.92857142857143,93.36598397150489,86.37577916295636,83.25912733748886,6.723063223508459,85.67615658362989,1.9642857142857142,69.10205179227094,NZ,,Fonterra Co-operative Group Limited,Consumer Defensive
HGH.NZ,1.2300000190734863,1.9921795416224872,-0.09225372234833805,0.5553575435553837,-0.019920299803290464,84.00001525878906,70.51280444583148,95.31766310589003,-15.999984741210938,4.0,89.33334350585938,0.026000014940897622,1,1,1.0,1.0,1.2264717324631205,-0.03906246362021115,1.6324884687353083,85.21897810218978,30.85867620751342,80.83941605839416,46.16071428571429,76.40249332146037,87.17720391807659,82.36865538735529,23.68655387355298,85.67615658362989,85.80357142857142,68.41924191664582,NZ,,Heartland Group Holdings Limited,Financial Services
GNE.NZ,2.640000104904175,1.0108546051808704,0.05895840186654572,0.16083078883079827,0.19457016259499516,100.0,74.19356823464084,151.93817060628544,-0.0,4.0,100.0,0.02133332888285319,1,1,1.0,1.0,0.8529036031101318,0.0,1.1218534224940528,68.06569343065694,70.39355992844365,54.83576642335767,84.82142857142857,93.36598397150489,91.62956366874442,93.94479073909172,6.723063223508459,85.67615658362989,15.089285714285714,66.4545292254652,NZ,,Genesis Energy Limited,Utilities
MCY.NZ,7.059999942779541,1.0044720398930844,0.3835988970277778,0.1963282911092683,0.09627327329973312,61.53846153846154,50.64933536866681,79.5454102114334,-38.46153846153846,4.0,51.28205128205128,0.0526666005452474,1,1,1.0,1.0,1.107041446987556,-0.01396646742509522,1.1185322376348519,67.7919708029197,83.09481216457961,58.3941605839416,73.92857142857143,58.59305431878896,44.52359750667854,77.29296527159394,41.4959928762244,85.67615658362989,68.92857142857143,65.97198529654995,NZ,,Mercury NZ Limited,Utilities
THL.NZ,2.4700000286102295,0.7957035655559691,-0.09611356800713533,0.571316143166863,0.0019155476278620576,71.87499417923486,63.11474592895559,61.397133671966294,-28.125005820765136,4.0,80.72915095060081,0.08133336702982584,1,1,1.0,1.0,1.549688508636359,-0.0891677320222185,1.0098990055747272,61.587591240875916,30.590339892665476,81.2956204379562,52.67857142857143,66.34016028495103,73.10774710596615,71.68299198575245,33.74888691006233,85.67615658362989,98.21428571428571,65.49223515847166,NZ,,Tourism Holdings Limited,Consumer Cyclical
IKE.NZ,1.2300000190734863,0.8220745655412937,0.6455337114994409,0.3351063812923085,0.2551020358513416,100.0,50.0,94.79157353455844,-0.0,4.0,93.75000931322074,0.011666671435038248,1,1,1.0,1.0,0.9407850054768523,-0.04280151671328203,1.023621225704752,62.40875912408759,88.01431127012522,69.06934306569343,89.10714285714286,93.36598397150489,42.742653606411395,82.27960819234195,6.723063223508459,85.67615658362989,30.357142857142854,64.97441647515885,NZ,,ikeGPS Group Limited,Technology
POT.NZ,8.239999771118164,1.5940670031657058,0.08989197800067569,0.28112521977513527,0.028714049396280084,68.74985098824595,48.245616236551314,61.634982470977405,-31.250149011754047,4.0,54.58328366274866,0.08533337910970053,1,1,1.0,1.0,1.0312110746411345,-0.02485207608131712,1.4253295482443515,80.2007299270073,73.25581395348837,64.96350364963503,60.62499999999999,64.1139804096171,38.557435440783614,71.7720391807658,35.97506678539626,85.67615658362989,51.160714285714285,62.63004402160376,NZ,,Port of Tauranga Limited,Industrials
MEL.NZ,5.909999847412109,0.3252900171152923,0.0644762335500067,0.07370545610901602,0.061803784335959344,100.0,54.41176161221489,75.96874123587187,-0.0,4.0,66.66666666666667,0.04933331807454427,1,1,1.0,1.0,1.1925313825868356,-0.010272298397020596,0.8097940127648858,46.806569343065696,70.6618962432916,44.16058394160584,66.78571428571428,93.36598397150489,52.44879786286732,76.1353517364203,6.723063223508459,85.67615658362989,81.60714285714286,62.43712600487512,NZ,,Meridian Energy Limited,Utilities
TWR.NZ,1.940000057220459,2.8939488522860812,0.09894709533131013,0.5619183627652391,0.06593406665384194,26.31579827953859,25.0,-10.823042847418469,-73.68420172046142,2.0,21.886671480500187,0.032000001271565756,0,0,1.0,1.0,1.159108305613199,-0.10599078847328613,2.1017265330602384,92.24452554744525,74.0608228980322,81.2043795620438,67.5,31.70080142475512,4.630454140694568,46.126447016918966,68.38824577025824,52.0017793594306,77.76785714285714,59.5625312862436,NZ,,Tower Limited,Financial Services
GNZ.NZ,2.059999942779541,0.35183020691119754,0.034170752953770624,0.06951128845459653,0.07118087733211764,100.0,59.67741935483871,148.93617021276614,-0.0,4.0,86.11111111111109,0.023333311080932617,1,1,1.0,1.0,0.8752364558059698,-0.08460800922144285,0.8189527418004996,47.44525547445255,68.33631484794276,43.70437956204379,69.19642857142857,93.36598397150489,66.16206589492431,93.41050756901159,6.723063223508459,85.67615658362989,18.482142857142858,59.25022985555897,NZ,,Goodman Property Trust,Real Estate
ERD.NZ,1.0700000524520874,-0.47931125152004617,-0.0006344660378405203,-0.3266666730244955,0.25146202173373533,100.0,60.638299761124884,128.88902109138132,-0.0,3.0,100.0,0.03333333333333333,1,1,1.0,0.0,1.5294924268134993,-0.6310344768052438,0.604756402024653,17.60948905109489,52.95169946332737,8.667883211678832,88.83928571428571,93.36598397150489,67.67586821015138,89.93766696349064,6.723063223508459,65.34697508896798,97.94642857142857,58.906434346943875,NZ,,EROAD Limited,Technology
CEN.NZ,9.600000381469727,0.7038519990901515,0.04588643928669568,0.12221418050619559,0.03225808436366906,40.62507450587702,43.04635301503332,12.534597507687858,-59.37492549412298,3.0,38.54169150195899,0.10666656494140625,0,1,1.0,1.0,1.8695201552184524,-0.038076069959563474,0.9634874838314775,58.75912408759124,69.49910554561717,49.81751824817518,61.42857142857143,42.03027604630454,26.536064113980412,54.140694568121106,58.05877114870882,65.34697508896798,99.46428571428572,58.50813859903235,NZ,,Contact Energy Limited,Utilities
FRW.NZ,13.670000076293945,0.978054301595138,-0.0924242854813165,0.23676860157715174,-0.008701949665774866,86.1385830102487,59.832632310216,85.30463560765766,-13.861416989751309,4.0,95.37952767008291,0.17666683197021485,1,1,1.0,1.0,0.9000853869330222,-0.0747885247456046,1.1047856970992809,66.6970802919708,30.76923076923077,61.77007299270073,49.464285714285715,78.80676758682101,66.34016028495103,79.60819234194123,21.282279608192344,85.67615658362989,22.857142857142858,56.32713690308665,NZ,,Freightways Group Limited,Industrials
CHI.NZ,3.130000114440918,2.38459744512579,0.5340918776159327,0.5945144589455624,0.13394184305458934,4.347925240232613,46.774196029330106,-98.71790071286185,-95.65207475976739,3.0,11.594294540214982,0.04266665776570638,0,1,1.0,1.0,0.7644639292990366,-0.06567158103121806,1.8366841707500885,89.05109489051095,86.13595706618963,81.84306569343066,78.30357142857143,16.562778272484415,34.81745325022262,18.788958147818345,83.52626892252894,65.34697508896798,5.892857142857142,56.026897990358215,NZ,,Channel Infrastructure NZ Limited,Energy
