symbol,price,ram_raw,exp_slope,ret_12_1,ret_3m,stoch_k,rsi,cci,wpr,ma_score,stoch_d,atr,above_ma25,above_ma50,above_ma100,above_ma200,vol_ratio,high_52w_pct,ret_1w,weekly_exp_slope,weekly_rsi,vol_surge,price_vs_ema20,ram_score,rank_ram_score,rank_exp_slope,rank_ret_12_1,rank_ret_3m,rank_stoch_k,rank_rsi,rank_cci,rank_wpr,rank_ma_score,rank_vol_ratio,momentum_score,weekly_rank_ret_1w,weekly_rank_weekly_exp_slope,weekly_rank_weekly_rsi,weekly_rank_vol_surge,weekly_rank_price_vs_ema20,weekly_score,market,rank_change,weekly_rank_change,name,sector
COO,67.33999633789062,-0.45962936383751846,-0.5755513484791568,-0.141472318792502,-0.12031360348398701,100.0,75.31107167339172,318.0569542858058,-0.0,2.0,66.86508409561125,1.0693326314290366,1,1,0,0,1.2512517672596029,-0.20137575211561431,0.10014699142468997,-0.03852685598855934,82.02718043812054,2.0911336238332505,0.08464998035272031,0.6446549944644276,18.163672654690618,2.3904382470119523,16.56686626746507,17.52988047808765,91.73306772908366,92.23107569721115,100.0,8.46613545816733,43.72509960159363,92.23107569721115,48.30373118305222,99.40239043824701,77.29083665338645,90.5050505050505,98.80478087649402,98.20717131474103,92.8420459575838,US,-200.0,7.0,"The Cooper Companies, Inc.",Healthcare
MDT,81.66999816894531,-0.3600944233598338,-0.5370651961487759,-0.07542795636229926,-0.09420453877172486,96.82148989571607,66.29277851664662,146.278758299429,-3.1785101042839328,2.0,94.4731307873783,1.1840006510416667,1,1,0,0,1.188636838060407,-0.21269840942962936,0.10648964734231203,-0.06421787839274622,94.4569587063878,1.6007798930027166,0.04693128695441162,0.664714625471309,20.55888223552894,3.7848605577689245,25.948103792415168,22.50996015936255,80.47808764940238,74.9003984063745,89.8406374501992,19.721115537848604,43.72509960159363,85.0597609561753,46.65269063466692,99.60159362549801,68.92430278884463,98.38383838383838,95.61752988047809,90.2390438247012,90.55326170067205,US,-217.0,4.0,Medtronic plc,Healthcare
UDR,39.20000076293945,-0.28148985005909055,0.00010921202234836857,-0.055689568628338404,0.06554692098106196,100.0,69.32203839133716,181.65790278814254,-0.0,4.0,90.20983498103323,0.4213338216145833,1,1,1,1,1.2994282762625566,-0.02082229984546291,0.06233060005288893,-0.027167789202963786,89.65508623173059,1.0828997457301628,0.04589409475637107,0.6814605275296852,24.75049900199601,56.17529880478087,28.143712574850298,64.34262948207171,91.73306772908366,81.67330677290838,94.82071713147411,8.46613545816733,82.17131474103586,95.4183266932271,62.76950083895953,96.21513944223108,82.07171314741036,96.36363636363636,70.91633466135458,90.0398406374502,87.12133285041652,US,-59.0,26.0,"UDR, Inc.",Real Estate
PGR,204.02000427246094,-1.130256628491217,-0.06244026823505961,-0.25604440952575136,-0.030742795951849478,100.0,55.459414115444815,112.49020567504431,-0.0,3.0,53.03926518491922,2.8093332926432293,1,1,1,0,1.1390856131832634,-0.22461393232655225,0.07153367023415669,-0.0006632416585245799,83.4808323762212,1.0768458876806593,0.03218595188508866,0.5357275466227949,6.187624750499002,29.482071713147413,11.177644710578843,39.04382470119522,91.73306772908366,45.41832669322709,81.27490039840637,8.46613545816733,57.96812749003985,77.09163346613546,44.78433571104803,97.21115537848605,97.41035856573706,91.91919191919192,69.52191235059762,78.28685258964143,86.86989416073081,US,-237.0,43.0,The Progressive Corporation,Financial Services
AFL,118.23999786376953,0.7643580942915564,0.02343216781947122,0.12929911832309848,0.06795105547139824,100.0,56.679411522741084,84.85555133472707,-0.0,4.0,64.54483309670478,1.0417943318684897,1,1,1,1,1.0834659487693374,0.0,0.05177014578916728,-0.0013582790424793553,95.18636943595746,1.0952045439988098,0.028252077090599848,1.0244369786361314,62.6746506986028,65.33864541832669,52.49500998003992,65.33864541832669,91.73306772908366,48.007968127490045,74.10358565737052,8.46613545816733,82.17131474103586,65.13944223107569,61.546846545951915,92.62948207171314,94.62151394422311,98.7878787878788,72.50996015936255,75.0996015936255,86.72968731136062,US,-75.0,44.0,Aflac Incorporated,Financial Services
WRB,68.56999969482422,-0.3541778974190159,-0.08058247705970466,-0.07529535720905733,-0.01930775900278403,96.36010733766348,58.346464497796795,88.07696799049455,-3.6398926623365235,3.0,60.98335369786826,0.8746668497721354,1,1,1,0,1.0558659061496072,-0.11096613066105054,0.07916271178503687,-0.0019054632610296983,,1.0869504496294315,0.034803679064214554,0.6659463853846651,21.157684630738522,27.689243027888445,26.147704590818364,42.23107569721115,80.2788844621514,54.7808764940239,75.69721115537848,19.9203187250996,57.96812749003985,57.56972111553785,46.34408473888875,98.60557768924303,94.22310756972112,,71.71314741035857,81.47410358565737,86.50398406374502,US,-225.0,50.0,W. R. Berkley Corporation,Financial Services
UNH,399.4700012207031,0.7097625910580111,1.7904637267040644,0.2850392003755531,0.40524843907005503,100.0,54.28353047243604,169.10405203626877,-0.0,4.0,66.8766150535922,4.72266845703125,1,1,1,1,0.9058251091018177,-0.004212788976913351,0.05037996314876625,-0.08607804937122543,87.1605984665449,1.2411045884294156,0.047841533061280694,0.9987616686059508,60.47904191616767,94.82071713147411,70.05988023952095,93.22709163346613,91.73306772908366,41.832669322709165,93.22709163346613,8.46613545816733,82.17131474103586,16.135458167330675,65.21524679724216,91.83266932270917,64.34262948207171,94.74747474747474,85.65737051792829,90.43824701195219,85.40367821642721,US,-42.0,8.0,UnitedHealth Group Incorporated,Healthcare
INCY,102.37999725341797,1.3760409394929556,-0.011805396605848385,0.45404520745452226,0.06712523085398958,100.0,69.15988601811453,225.4934671243359,-0.0,4.0,100.0,1.384666951497396,1,1,1,1,1.0486283771149172,-0.07407074671258795,0.058300594523381655,-0.07528054043556827,69.26229380049132,1.620467339686134,0.049113603339666634,1.3121179215245018,78.64271457085829,40.63745019920319,82.03592814371258,64.9402390438247,91.73306772908366,81.07569721115537,99.20318725099602,8.46613545816733,82.17131474103586,55.37848605577689,68.42842204038138,95.2191235059761,66.13545816733067,76.96969696969697,95.81673306772909,90.83665338645417,84.9955330194374,US,-18.0,9.0,Incyte Corporation,Healthcare
HPE,49.20000076293945,1.4702510237549127,4.916029647404577,0.7146033736099788,1.343457195266856,70.46323843281942,74.63280333405433,64.25651103905108,-29.536761567180573,4.0,85.25286511617803,2.247333780924479,1,1,1,1,1.5573636137102338,-0.12377561129248194,0.1431226699902275,-0.14187198629443643,65.3539367539971,3.910126753592443,0.19196443336380753,1.356425925390703,82.03592814371258,98.00796812749005,90.21956087824351,99.20318725099602,56.97211155378486,91.63346613545816,65.93625498007968,43.22709163346614,82.17131474103586,100.0,80.94068834442669,99.800796812749,51.39442231075697,69.6969696969697,100.0,100.0,84.17843776409514,US,0.0,-7.0,Hewlett Packard Enterprise Company,Technology
MAA,137.5399932861328,-0.4803225896260505,-0.0009144764283066176,-0.08990130597066603,0.04846788511895128,100.0,81.27971215695483,214.9729573521893,-0.0,4.0,100.0,1.3620010375976563,1,1,1,1,0.9484758205534282,-0.07036508645188522,0.06562319269602113,-0.17007059567282135,90.91784277388814,1.337635458815869,0.051526643920736914,0.6406356848029183,16.966067864271455,49.40239043824701,22.55489021956088,60.3585657370518,91.73306772908366,97.41035856573706,98.80478087649402,8.46613545816733,82.17131474103586,24.50199203187251,55.236956366152164,96.61354581673307,44.02390438247012,96.96969696969697,90.83665338645417,92.23107569721115,84.1349752505131,US,-129.0,-3.0,"Mid-America Apartment Communities, Inc.",Real Estate
AIZ,257.3500061035156,0.7300529126561817,0.1028718623374633,0.1790382841708189,0.15450182529094114,92.38620392619123,54.97097457333869,84.80282800513858,-7.613796073808768,4.0,47.13710500068006,1.963336181640625,1,1,1,1,1.0875834888218758,-0.0031762299320958753,0.034074059359124664,-0.006962442042812006,95.20259366744317,1.0806475134898643,0.03498149150750063,1.008302887127366,61.67664670658682,73.50597609561753,59.68063872255489,79.08366533864542,77.88844621513944,44.42231075697211,73.90438247011953,22.31075697211155,82.17131474103586,66.53386454183267,64.11780025606159,79.6812749003984,89.44223107569721,98.98989898989899,70.3187250996016,81.67330677290838,84.02108736770091,US,-48.0,49.0,"Assurant, Inc.",Financial Services
PH,882.3400268554688,1.4149641919583757,-0.14982921935261778,0.34830896173552195,-0.042638004245933,100.0,57.58116043132111,155.64416664678814,-0.0,2.0,82.68861638700683,9.807340494791667,1,0,0,1,1.1024017686664658,-0.13556492236009987,0.04464679416389927,-0.0020688662631345982,73.46024363923289,1.4539007534943535,0.01649267953861333,1.3304239408241723,80.43912175648703,21.51394422310757,75.44910179640718,34.66135458167331,91.73306772908366,51.19521912350598,92.03187250996015,8.46613545816733,43.72509960159363,69.9203187250996,56.913523550508536,86.85258964143426,93.62549800796812,82.02020202020202,93.62549800796812,62.15139442231076,83.65503641997665,US,-117.0,46.0,Parker-Hannifin Corporation,Industrials
ALL,221.00999450683594,0.23000785902534598,0.09255789664720297,0.05432152999708828,0.046412412939609515,86.98908505065907,54.96761259460865,103.83375625383106,-13.01091494934093,4.0,47.4090579893497,3.2678599039713543,1,1,1,1,1.142925925050118,-0.01071208103629373,0.07804497550711598,-0.031570998196265056,93.85959922300728,0.9563970214688885,0.03895445459074165,0.8150798802868191,43.712574850299404,72.70916334661355,42.315369261477045,59.76095617529881,74.30278884462152,44.223107569721115,79.2828685258964,25.89641434262948,82.17131474103586,78.08764940239044,60.24622070599836,98.00796812749005,80.0796812749004,97.97979797979798,48.40637450199203,86.05577689243027,82.10591975532216,US,-82.0,31.0,The Allstate Corporation,Financial Services
SPG,210.30999755859375,1.7167287819191974,0.08843922064038054,0.31525438794302074,0.0919114405351309,100.0,76.05063604090131,190.70324445718612,-0.0,4.0,80.20230396015661,1.5019989013671875,1,1,1,1,1.1250500521632067,0.0,0.026353002781595913,-0.012606498665201174,77.49485676638221,1.1688863023974756,0.029382307708035293,1.4723470345504126,84.63073852295409,72.11155378486056,73.85229540918164,71.51394422310757,91.73306772908366,93.42629482071713,96.61354581673307,8.46613545816733,82.17131474103586,73.90438247011953,74.84232729759604,73.10756972111554,87.25099601593625,86.66666666666667,80.2788844621514,76.29482071713147,80.71978751660026,US,-2.0,48.0,"Simon Property Group, Inc.",Real Estate
