symbol,price,ram_raw,exp_slope,ret_12_1,ret_3m,stoch_k,rsi,cci,wpr,ma_score,stoch_d,atr,above_ma25,above_ma50,above_ma100,above_ma200,ram_score,rank_ram_score,rank_exp_slope,rank_ret_12_1,rank_ret_3m,rank_stoch_k,rank_rsi,rank_cci,rank_wpr,rank_ma_score,momentum_score,market,name
XWA.SI,4.099999904632568,2.0434852520528013,162.92539330494515,2.9200000762939453,3.0999999046325684,,,,,4.0,,0.0,1,1,1.0,1.0,1.9795098228373365,90.22403258655804,99.80221518987342,96.05530703538024,99.84239558707644,,,,,89.1653605015674,95.0178621800911,SG,AEM Holdings Ltd.
TGUD.SI,2.6600000858306885,,2.628757953884555,,0.5907797970655368,97.72727519027426,84.74577504031902,229.3300709739064,-2.2727248097257426,4.0,97.15909173009142,0.04199999173482259,1,1,1.0,1.0,,,97.07278481012658,,96.92671394799054,84.2544731610338,98.71794871794873,99.00596421471172,15.785288270377734,89.1653605015674,82.9897905176795,SG,t Gulf Dev TH SDR 1to1
TDED.SI,13.579999923706055,4.140679682897091,2.634080444670681,2.252198446743885,0.33006854779314065,72.82608921000529,70.41198729291517,31.936687595365147,-27.173910789994714,4.0,90.2053823595093,0.20799999237060546,1,1,1.0,1.0,3.353659842654324,97.67820773930754,97.19145569620254,94.63196421309476,92.9866036249015,71.29224652087474,90.5448717948718,64.81113320079523,28.747514910536783,89.1653605015674,80.78326202246136,SG,t Delta TH SDR 1to1
NC2.SI,0.7200000286102295,1.4483450864803764,485.5177893991722,4.5132211413435614,4.657143178278091,75.00002483526767,52.830196742527995,90.7409063092153,-24.99997516473233,4.0,58.73013552804752,0.020333337783813476,1,1,1.0,1.0,1.5895546244602372,84.11405295315683,99.92088607594937,98.16998779991867,99.96059889676911,73.1610337972167,62.05929487179487,82.54473161033798,26.87872763419483,89.1653605015674,79.55274157121175,SG,Sri Trang Agro-Industry Public Company Limited
PCT.SI,2.240000009536743,2.1181694255623333,3.0729393173040087,1.3532405408320733,0.916485791697923,54.94504976266874,66.19718357155043,25.885597860785293,-45.05495023733126,4.0,67.03295791580608,0.10333334604899089,1,1,1.0,1.0,2.0284453230459762,91.07942973523421,97.70569620253164,90.28060187067913,98.46335697399527,60.59642147117297,85.45673076923077,63.379721669980114,39.44333996023857,89.1653605015674,79.50785101718112,SG,PC Partner Group Limited
AWX.SI,9.569999694824219,7.929011441284571,226.39417216499254,5.010674578442542,2.0727649043821295,48.124986216420965,53.2520306292392,-18.65557816897544,-51.875013783579035,4.0,65.83333383003888,0.3719998677571615,1,1,1.0,1.0,4.0,99.38900203665987,99.88132911392405,98.57665717771452,99.68479117415288,53.558648111332005,62.70032051282052,50.65606361829026,46.48111332007952,89.1653605015674,77.78814284072678,SG,AEM Holdings Ltd.
TATD.SI,2.2899999618530273,1.4269156816616728,-0.0019178813547899732,0.5954653838221695,0.14499998092651367,100.0,85.71429787850018,198.50716340229332,-0.0,4.0,100.0,0.018666664759318035,1,1,1.0,1.0,1.5755133812530286,83.5845213849287,62.10443037974683,78.60919072793818,84.35776201733648,92.42544731610339,98.97836538461539,97.77335984095427,7.614314115308152,89.1653605015674,77.1791946298332,SG,Airports of Thailand Public Company Limited
O39.SI,23.940000534057617,2.888550813179522,0.3977257338980514,0.4055321853342615,0.17902394146256428,60.402668240336205,65.25678591905589,76.41926622726702,-39.597331759663795,4.0,75.75921107420523,0.22200024922688802,1,1,1.0,1.0,2.5332242712880895,95.07128309572302,88.72626582278481,70.8418056120374,86.68242710795903,64.37375745526839,84.375,78.21073558648112,35.66600397614314,89.1653605015674,77.01251546199605,SG,Oversea-Chinese Banking Corporation Limited
D05.SI,63.779998779296875,2.4258089932021556,0.1483700876095829,0.35021785037672504,0.19008105868854042,70.39620344673968,72.3191671220992,73.52388735783305,-29.603796553260317,4.0,83.87775006534308,0.5393338521321615,1,1,1.0,1.0,2.2300207763045297,93.27902240325867,83.34651898734177,67.66978446522977,87.50985027580772,69.90059642147118,92.58814102564102,77.2962226640159,30.139165009940356,89.1653605015674,76.76607352825265,SG,DBS Group Holdings Ltd
AGS.SI,2.640000104904175,1.8814324510979934,0.25930285441089895,0.4776302737061173,0.16299565069892363,87.5000186264415,64.99998360874125,77.29477078811883,-12.4999813735585,4.0,84.37499844779654,0.05666672388712565,1,1,1.0,1.0,1.8733275555337756,88.92057026476579,86.35284810126582,74.21716144774298,85.77620173364853,79.64214711729622,84.01442307692307,78.4493041749503,20.39761431411531,89.1653605015674,76.32618119247505,SG,The Hour Glass Limited
