symbol,price,ram_raw,ram_score,exp_slope,ret_12_1,ret_3m,stoch_k,stoch_d,rsi,cci,wpr,atr,ma_score,above_ma25,above_ma50,above_ma100,above_ma200,vol_ratio,high_52w_pct,rank_change,market,momentum_score,name,sector,ret_1w,weekly_exp_slope,weekly_rsi,vol_surge,price_vs_ema20,weekly_score,weekly_rank_change
TEA.AX,8.229999542236328,2.1817282586388176,1.7200835382850204,5.327667999646114,1.0421344708776377,0.9693739707162827,100.0,99.2559636581929,86.14864951942532,121.13864061906332,-0.0,0.20133326848347982,4.0,1,1,1.0,1.0,1.4579406384156446,0.0,0,AU,84.38501000359662,Tasmea Limited,Industrials,0.1673757900109314,6358.109026448181,87.82052810376965,1.713217626888491,0.2003310618465335,97.95274739056765,1
ELS.AX,7.619999885559082,5.9272612193756595,3.6340067853052958,3.373245738318701,5.386792779605404,0.3905109231819692,93.74999426878395,85.09614840884632,75.59523395602682,84.68039495887315,-6.250005731216054,0.24733333587646483,4.0,1,1,1.0,1.0,1.2005458139669922,-0.01677420831495713,0,AU,82.76877872960365,Elsight Limited,Technology,0.0013140278408982908,1671.76673446519,50.549436729757616,0.6610950173767259,0.1200133991831418,62.5796203205545,122
VMM.AX,3.5799999237060547,5.500876610171144,3.4161292698000962,2.630978446024675,5.769231286509757,0.696682512651722,74.31192720752108,74.06545590291877,74.0540516855421,34.83591441591665,-25.68807279247892,0.12599999109903973,4.0,1,1,1.0,1.0,1.276764540628581,-0.07253885466305676,0,AU,81.96999595262221,Viridis Mining and Minerals Limited,Basic Materials,-0.04787235830152892,0.020827333045811785,29.54543853593593,1.2420054666970428,0.08735618982217774,55.881955713449614,161
DELL,394.3900146484375,1.6670719839811137,1.4571002409498253,22.73502757500989,1.0906037381569549,1.700780409654986,68.97703608435789,76.82993968027093,74.5063381098308,49.04445579506835,-31.022963915642112,21.122665405273438,4.0,1,1,1.0,1.0,1.372365382043686,-0.15359682830954058,0,US,80.96959975448236,Dell Technologies Inc.,Technology,-0.06300631674927148,61032.442990242016,38.81579099777527,1.5400583544541104,0.18896705834519012,67.47974351886452,94
HPE,49.20000076293945,1.4702510237549127,1.3565270474346165,4.916029647404577,0.7146033736099788,1.343457195266856,70.46323843281942,85.25286511617803,74.63280333405433,64.25651103905108,-29.536761567180573,2.247333780924479,4.0,1,1,1.0,1.0,1.5573636137102338,-0.12377561129248194,0,US,80.92308574723431,Hewlett Packard Enterprise Company,Technology,0.1431226699902275,165490.27391695345,65.3539367539971,3.910126753592443,0.19196443336380753,94.72452081488345,2
SIQ.AX,11.920000076293945,2.05771462006204,1.6567140289767988,1.5929870028779636,0.5609675585596212,0.45365857970211176,100.0,86.66661580403648,68.82352050201365,244.0722967060811,-0.0,0.12266674041748046,4.0,1,1,1.0,1.0,1.0533282878844037,0.0,0,AU,78.29908995073934,Smartgroup Corporation Ltd,Industrials,0.04653202080734764,0.29080785560714606,81.17640591007876,0.8495131376745132,0.06243402438574752,75.57799758381154,48
GNP.AX,10.079999923706055,4.072906977856987,2.6864535990812874,1.6243590866079916,1.754800533248559,0.30768356635191507,75.32462063601369,66.23371529824806,55.62913719067977,63.99100704263944,-24.675379363986305,0.201333491007487,4.0,1,1,1.0,1.0,1.412934432966322,-0.018500538032010017,0,AU,78.27617725901489,GenusPlus Group Ltd,Industrials,0.06105262354800578,0.013885305591227732,73.77046489231307,0.799786734477068,0.03213794752020416,69.01285221151204,83
WBT.AX,7.550000190734863,1.5815543065042605,1.4134017145532152,0.1503799101519965,1.4,0.5599173456013153,84.15300688834297,69.39890026928707,64.15584473490085,94.78207936647465,-15.846993111657028,0.2793333689371745,4.0,1,1,1.0,1.0,1.3518479512048587,-0.0369897903327594,0,AU,78.0800235938349,Weebit Nano Limited,Technology,0.041379336653084575,-0.007236737156667408,72.05882765429882,0.6276005888291541,0.13649984368744916,64.00532721778288,114
PEB.NZ,0.30000001192092896,1.081662592491821,1.1579629338855368,0.03651612815116184,0.8333333074632621,0.5151515835682337,100.0,75.61904944854251,62.49999689559232,202.45106881946964,-0.0,0.014333336551984151,4.0,1,1,1.0,1.0,2.0144007282371588,0.0,0,NZ,77.60040800618978,Pacific Edge Limited,Healthcare,0.13207557779396217,2.9082846658902075,,0.7871202139232771,0.17063469080389404,76.35925798186835,47
JBHT,284.95001220703125,1.9942585744408554,1.6242887367282766,0.5819884454584552,0.7544095912804609,0.3378342161611543,100.0,100.0,72.71275269497619,115.42365517562118,-0.0,3.840667724609375,4.0,1,1,1.0,1.0,1.062391701678179,0.0,0,US,77.19119010072296,"J.B. Hunt Transport Services, Inc.",Industrials,0.030821617613841834,7.513760038216128,76.19930631672197,0.8991704253820003,0.06876582880336723,78.8400013138878,37
