symbol,price,ram_raw,ram_score,exp_slope,ret_12_1,ret_3m,stoch_k,stoch_d,rsi,cci,wpr,atr,ma_score,above_ma25,above_ma50,above_ma100,above_ma200,vol_ratio,high_52w_pct,rank_change,market,momentum_score,name,sector,ret_1w,weekly_exp_slope,weekly_rsi,vol_surge,price_vs_ema20,weekly_score
DELL,394.3900146484375,1.6670719982110938,1.463317891999297,22.73502757500989,1.0906037381569549,1.700780409654986,68.97703608435789,76.8299396802709,74.5063381098308,49.04445579506835,-31.022963915642112,21.122665405273438,4.0,1,1,1.0,1.0,1.372365382043686,-0.15359682830954058,0,US,80.89048780225923,Dell Technologies Inc.,Technology,-0.06300631674927148,61032.442990242016,38.81579099777527,1.5400583544541104,0.18896705834518945,68.48428208193829
HPE,49.20000076293945,1.470250630238865,1.3609013685792326,4.916029647404577,0.7146031848104433,1.343457195266856,70.46323843281942,85.25286511617803,74.63280333405433,64.25651103905108,-29.536761567180573,2.247333780924479,4.0,1,1,1.0,1.0,1.5573636137102338,-0.12377561129248194,0,US,80.85483989090764,Hewlett Packard Enterprise Company,Technology,0.1431226699902275,165490.27391695345,65.3539367539971,3.910126753592443,0.19196443336380709,94.82869246426453
JBHT,284.95001220703125,1.99425904764513,1.6335705452367795,0.5819884454584552,0.7544095912804609,0.3378342161611543,100.0,100.0,72.71275269497619,115.42365517562118,-0.0,3.840667724609375,4.0,1,1,1.0,1.0,1.062391701678179,0.0,0,US,77.1954550164938,"J.B. Hunt Transport Services, Inc.",Industrials,0.030821617613841834,7.513760038216128,76.19930631672197,0.8991704253820003,0.06876582880336524,79.31790643037814
MU,864.010009765625,7.495866470261388,4.0,7.068008268469488,5.098201264536321,1.3342505644578506,45.84328977417619,74.94913225429873,60.11703999816369,-11.707375838599203,-54.15671022582381,49.335986328125,4.0,1,1,1.0,1.0,1.1283557767783376,-0.19967204280223616,0,US,76.62647462210047,"Micron Technology, Inc.",Technology,-0.11018536584384653,41.75670004123332,33.495815117999214,0.9517241033661905,0.012969786964147634,49.97256053982399
HST,24.6200008392334,2.0029188882468234,1.6380767163752836,0.6271780997407109,0.48847164706047264,0.29394046958275744,100.0,100.0,86.32286516080308,146.64115293589603,-0.0,0.3080003102620443,4.0,1,1,1.0,1.0,0.9996369894000905,0.0,0,US,76.31950991015584,"Host Hotels & Resorts, Inc.",Real Estate,0.07136646343194286,5.739213984202439,,1.0288050983629227,0.07618996027060576,85.48061735208479
NUE,254.38999938964844,3.154782894257939,2.237452222011502,1.2278849684884487,0.9380052700607757,0.5126378553258422,80.5425430435167,92.85170660334131,74.79616691503568,61.736553980505924,-19.45745695648329,4.0679982503255205,4.0,1,1,1.0,1.0,0.9616249305903545,-0.03008235254830738,0,US,75.36603506712171,Nucor Corporation,Basic Materials,0.01755999755859383,11.286443971628893,60.14796044699941,0.9838743559889909,0.05462734496630861,76.26038677366206
ROST,230.3699951171875,2.4096691450590484,1.8497302966349451,0.5400467717569252,0.5939222044861183,0.0902459080379372,81.28949329622696,88.22867482569417,65.03926966139946,40.72078036215072,-18.71050670377303,3.939997355143229,4.0,1,1,1.0,1.0,1.3455677615330752,-0.018908915666158155,0,US,75.01889570529235,"Ross Stores, Inc.",Consumer Cyclical,-0.005868901891970091,-0.03982551390731772,46.57257583833051,0.8782312183111461,0.019137911545435093,49.89402037809553
STLD,268.5,2.3588505258131263,1.8232866926614697,0.9932131550592925,0.787071742560153,0.48301834125673637,84.38667840653537,94.79555946884511,78.37680169730733,66.31993503309452,-15.61332159346463,4.956001790364583,4.0,1,1,1.0,1.0,0.9649488762852858,-0.030160758242474106,0,US,75.00182817408651,"Steel Dynamics, Inc.",Basic Materials,0.032096891406571126,20.95497277385596,66.66666666666666,0.9449802482410415,0.07030845923345441,79.51643163434684
AMAT,453.010009765625,3.2153074870708234,2.2689463552002582,1.2644247872312837,1.5162237952741973,0.3967271704917674,48.906147822639475,82.96871594087983,54.52880013634592,6.570946183429091,-51.093852177360525,12.724898274739584,4.0,1,1,1.0,1.0,1.211248844134336,-0.09705003240325583,0,US,74.5885113751479,"Applied Materials, Inc.",Technology,0.006554708756685734,8.649054890553149,51.47015434293686,1.1613916085962626,0.00937991634080304,69.5876883153661
SPG,210.30999755859375,1.716728635420076,1.4891568555227748,0.08843922064038054,0.31525438794302074,0.0919114405351309,100.0,80.20230396015657,76.05063604090131,190.70324445718612,-0.0,1.5019989013671875,4.0,1,1,1.0,1.0,1.1250500521632067,0.0,0,US,74.53780962435025,"Simon Property Group, Inc.",Real Estate,0.026353002781595913,0.003959476619192182,77.49485676638221,1.1688863023974756,0.02938230770801953,75.82820479980916
CSCO,121.63999938964844,1.4945350046751493,1.3735378075432494,1.7610023255741116,0.45901087108157035,0.5551771126468623,46.58147095687223,78.53082039875957,54.46265974230792,16.055403183371375,-53.41852904312777,2.740666707356771,4.0,1,1,1.0,1.0,1.321562456690666,-0.06430769700270433,0,US,73.22841814395679,"Cisco Systems, Inc.",Technology,0.010131217731721875,2.8432212060461706,52.91308757990096,0.9676173133224728,0.04958861771268408,70.62061471836336
CAT,904.280029296875,4.656281005421877,3.0187607661574916,0.9394636082243126,1.5945199616028334,0.33059414075031235,54.9359255876717,84.97864186255721,53.23214742326749,40.79334214315987,-45.0640744123283,18.597322591145833,4.0,1,1,1.0,1.0,1.0630135158703178,-0.03849093220871369,0,US,73.05789351735129,Caterpillar Inc.,Industrials,0.03243635966304148,0.33479889302982013,61.65970796498305,1.0536570908558955,0.015339894773980012,71.41373031961145
MGM,47.5099983215332,0.5360948181477082,0.8887395031664832,0.3583130047703228,0.2179609937767648,0.33567609584338487,78.32310359855754,81.09520396888053,77.67856802974663,73.34174510734287,-21.67689640144246,1.2799997965494792,4.0,1,1,1.0,1.0,1.2468181169255208,-0.06273427483385674,0,US,73.02093863201158,MGM Resorts International,Consumer Cyclical,0.08793222609564011,935.6285958475166,68.82352875178253,1.9533132004667517,0.1114243999435387,94.06619862084307
GS,1038.6800537109375,1.9637443312038674,1.6176921312044974,0.11962567765724916,0.5520629182380863,0.2700661156691726,67.88837387802214,83.68321455186286,66.10226716515835,55.320201463223334,-32.111626121977864,20.895939127604166,4.0,1,1,1.0,1.0,1.0836785906681643,-0.04935881271785403,0,US,72.93944064406946,"The Goldman Sachs Group, Inc.",Financial Services,0.017256570726559062,6.81371801606761,55.104293897111404,1.246549571709331,0.03896883295766962,78.44365190481543
MS,211.92999267578125,1.9153125985820394,1.5924905500477318,0.38515051117376153,0.49104313958197365,0.3294372111637147,77.90166937201234,86.28218703355515,70.10351650302695,73.25576343845793,-22.098330627987668,3.354667154947917,4.0,1,1,1.0,1.0,1.0042583118493245,-0.029046646229802686,0,US,72.91339667749426,Morgan Stanley,Financial Services,0.018894195556640625,6.034204931021029,57.47430847933361,1.1482003890172168,0.0447442948029908,78.44289959488012
MAR,392.510009765625,1.3905997478244667,1.319454819618278,0.24297021321700887,0.3643233745283836,0.21459168132286544,100.0,90.34518817934101,78.8884509262909,152.66724205678497,-0.0,4.63953857421875,4.0,1,1,1.0,1.0,0.9837479826073057,0.0,0,US,72.83761351368801,"Marriott International, Inc.",Consumer Cyclical,0.04502130827295292,0.36934716315090144,86.2720454137815,0.9551598308876984,0.05517997356790261,79.8725814549431
BNY,142.38999938964844,2.5261341350334514,1.9103331645868336,0.5672348535394801,0.5031140182769567,0.2406075043180831,78.83109702810195,84.04897804527423,68.36074647268393,89.34920571233776,-21.168902971898056,1.4019978841145833,4.0,1,1,1.0,1.0,0.9618097781220925,-0.011317906085663076,0,US,72.8025926955398,The Bank of New York Mellon Cor,Financial Services,0.02122933995091092,0.4496632759761085,64.42499170879195,0.9668367955185845,0.026538351755392542,70.8050778964326
FRT,122.55999755859375,1.6336746478534163,1.4459394917254114,0.46446160306241224,0.2805543824559862,0.15181746884987501,100.0,92.0253128698006,83.1452706338104,134.38128937615411,-0.0,0.9893325805664063,4.0,1,1,1.0,1.0,0.9923757402776505,0.0,0,US,72.79959726009952,Federal Realty Investment Trust,Real Estate,0.024492187348036376,0.013975487601885921,81.37051649635275,0.9113242851767277,0.03796711276541331,71.61593210703225
STT,161.75,2.341977307061473,1.814506668311195,0.8357941940389657,0.5852852586270529,0.3452637960331244,91.57539670296897,90.04630361763422,66.50592863004783,110.78839654865725,-8.424603297031027,1.8579986572265625,4.0,1,1,1.0,1.0,0.8973413143783514,-0.006144393241167445,0,US,72.66266703644142,State Street Corporation,Financial Services,0.039257264419893856,1.1160860977222755,75.60776268381248,0.815733854773337,0.03761030613074978,73.38635955011334
NTAP,167.0399932861328,0.25087033469462505,0.7851719225464079,1.198252163979743,0.1012051062852799,0.6613457556637323,77.39493091780473,91.27890565174634,76.7457572498498,50.46009810401278,-22.60506908219527,5.871335347493489,4.0,1,1,1.0,1.0,1.4853707141446935,-0.07753483765712033,0,US,72.53974410037438,"NetApp, Inc.",Technology,-0.041597339372763886,2031.2619115946022,37.47841633338042,1.1010579874768829,0.13329181262700374,65.21116016772287
NTRS,170.47000122070312,2.0593559408451165,1.6674438871186963,0.41161098318186085,0.5409183298423987,0.23574349980222653,77.93487808685806,84.47612141534981,65.29380797716358,118.53373120934798,-22.06512191314194,1.6349629720052083,4.0,1,1,1.0,1.0,0.9697402194665401,-0.010391230368126947,0,US,72.5006768265292,Northern Trust Corporation,Financial Services,0.03512663573063057,0.23041269413844473,74.03852860351249,0.9130211413006601,0.02572339930598777,72.24409191873043
CSX,46.9900016784668,1.8703819081795323,1.5691107455412552,0.46570681122373253,0.4162010565469252,0.17982602036061568,99.65829057387405,74.50364233680902,60.938571902358355,151.1176988920761,-0.3417094261259381,0.4650973002115885,4.0,1,1,1.0,1.0,1.0263745826511752,-0.00012622058553035664,0,US,72.42276398271486,CSX Corporation,Industrials,0.03822367258265036,0.06591024741743223,90.23260765422899,0.9936918106944679,0.027650329258330775,76.25355602170448
KLAC,1929.199951171875,2.643174121397685,1.971235233442731,1.4107353491533285,1.2381291296935646,0.43666068694608273,48.29968419647649,82.7665613988255,57.63182962379768,-1.983196541892261,-51.70031580352351,61.44849446614583,4.0,1,1,1.0,1.0,1.0447181035648294,-0.09473987012924523,0,US,71.94373899963887,KLA Corporation,Technology,0.0038975653905237717,1.352489215533545,50.910547919591366,1.0860747995734765,0.0031544772143459188,63.95743814933469
C,132.47000122070312,2.5608847823135403,1.9284157565212918,0.302708005046677,0.7218811437752424,0.24938175308116084,82.34523077170509,90.18829032227075,65.82721967642183,111.53842543285444,-17.654769228294914,1.9993331909179688,4.0,1,1,1.0,1.0,0.88769657195685,-0.01982976542221626,0,US,71.67167470452712,Citigroup Inc.,Financial Services,0.05218427017630933,4.929948252672987,72.5154379009161,1.114487125775984,0.0369819035676624,84.1308691461339
FDX,331.0,2.7374737400119398,2.0203042913291323,0.15591658007283835,0.7731051885431257,0.14852787726341754,81.53763754697735,73.69912730197798,71.15703266617265,59.912083903980594,-18.46236245302265,4.667930094401042,4.0,1,1,1.0,1.0,0.9713004623339473,-0.02212765650525983,0,US,71.5516400738655,FedEx Corporation,Industrials,-0.0023776547181775243,0.11730207578936172,48.55363577359504,1.1775351229666942,0.03339047240407966,66.27073401603579
CVS,95.93000030517578,1.4045862211922975,1.326732718313925,0.5312131724821259,0.4355606236306684,0.2419403555891646,99.07553808409264,68.49743361949379,50.113768284188524,128.0612571178858,-0.9244619159073516,1.255999755859375,4.0,1,1,1.0,1.0,1.0880279145981107,-0.022219960163222807,0,US,71.08763374155998,CVS Health Corporation,Healthcare,0.05440752655088743,0.1011197007189538,81.2894731765659,0.9196764811927112,0.05038303680096634,77.61264831294352
DDOG,234.11000061035156,0.8394625387918099,1.0326691039305054,3.6835406075728447,0.5501437020742428,0.8617097464043861,36.82830869380111,50.56321475364359,60.67489778016264,2.277551010742319,-63.17169130619889,8.50199686686198,4.0,1,1,1.0,1.0,1.1035747072779796,-0.15632992594573814,0,US,71.06570734389018,"Datadog, Inc.",Technology,-0.053527411224817745,9.266001602568675,40.99564049267311,1.199578758092592,0.05773621412971641,64.38556906325594
EA,203.0,1.6990149001969097,1.4799394661862866,0.001567880380129333,0.36225580238032995,0.026221953783862384,85.29434864073421,95.09811621357807,71.65175158286489,132.82653828938328,-14.705651359265783,0.4018330891927083,4.0,1,1,1.0,1.0,1.1121770066630614,-0.006864483941676158,0,US,70.93706993728908,Electronic Arts Inc.,Communication Services,0.006345423218079516,0.41829700423237887,80.76940006162243,0.9923834781207788,0.0060557050549112645,68.28881577780652
WDC,511.7200012207031,11.532985794633811,4.0,7.765608454187191,7.447701865977988,1.0870679088889048,40.527384808653174,75.69069784533568,55.939446424610374,-11.554375028888485,-59.472615191346826,17.213948567708332,4.0,1,1,1.0,1.0,0.9086834645191558,-0.13845344962539152,0,US,70.85481319698106,Western Digital Corporation,Technology,-0.03643865425379578,6.228469944173372,43.332518094207856,0.904715453958225,0.0037964591636874268,52.131627660687215
