symbol,price,ram_raw,exp_slope,ret_12_1,ret_3m,stoch_k,rsi,cci,wpr,ma_score,stoch_d,atr,above_ma25,above_ma50,above_ma100,above_ma200,vol_ratio,high_52w_pct,ret_1w,weekly_exp_slope,weekly_rsi,vol_surge,price_vs_ema20,ram_score,rank_ram_score,rank_exp_slope,rank_ret_12_1,rank_ret_3m,rank_stoch_k,rank_rsi,rank_cci,rank_wpr,rank_ma_score,rank_vol_ratio,momentum_score,weekly_rank_ret_1w,weekly_rank_weekly_exp_slope,weekly_rank_weekly_rsi,weekly_rank_vol_surge,weekly_rank_price_vs_ema20,weekly_score,market,rank_change,name,sector
TEA.AX,8.229999542236328,2.181728184779184,5.327667999646114,1.0421344708776377,0.9693739707162827,100.0,86.14864951942532,121.13864061906332,-0.0,4.0,99.2559636581929,0.20133326848347982,1,1,1.0,1.0,1.4579406384156446,0.0,0.1673757900109314,6358.109026448181,87.82052810376965,1.713217626888491,0.20033106184653393,1.731120610413332,87.22627737226277,97.94275491949911,88.77737226277372,98.48214285714286,93.36598397150489,99.10952804986643,88.06767586821015,6.723063223508459,85.67615658362989,96.78571428571429,84.21566693941126,99.28825622775801,99.55516014234875,96.71532846715328,93.49376114081997,99.73309608540926,97.75712041269786,AU,1.0,Tasmea Limited,Industrials
ELS.AX,7.619999885559082,5.9272612193756595,3.373245738318701,5.386792779605404,0.3905109231819692,93.74999426878395,75.59523395602682,84.68039495887315,-6.250005731216054,4.0,85.09614840884632,0.24733333587646483,1,1,1.0,1.0,1.2005458139669922,-0.01677420831495713,0.0013140278408982908,1671.76673446519,50.549436729757616,0.6610950173767259,0.1200133991831418,3.680118708081779,98.63138686131386,97.13774597495528,98.63138686131386,93.21428571428572,82.9919857524488,93.1433659839715,79.07390917186109,17.09706144256456,85.67615658362989,82.76785714285714,82.83651414892016,56.04982206405694,98.84341637010677,56.84306569343066,10.51693404634581,98.39857651245552,64.13036293727914,AU,4.0,Elsight Limited,Technology
JGH.AX,0.08900000154972076,1.0136546700275506,42.94594743806995,0.965517298964061,2.5600000089406967,100.0,81.39533715160971,108.02469910840009,-0.0,4.0,94.55554521580666,0.002933334559202194,1,1,1.0,1.0,1.4834153664766314,0.0,0.034883703804777566,2021.8307830239394,63.636339006378364,1.3255705444825514,0.214655320880776,1.1233104437001458,68.15693430656934,99.82110912343471,87.95620437956204,99.73214285714286,93.36598397150489,97.23953695458593,85.30721282279609,6.723063223508459,85.67615658362989,97.14285714285714,82.11212013655913,83.00711743772243,99.02135231316726,74.54379562043796,84.75935828877004,99.8220640569395,88.23073754340744,AU,4.0,Jade Gas Holdings Limited,Energy
VMM.AX,3.5799999237060547,5.500876610171144,2.630978446024675,5.769231286509757,0.696682512651722,74.31192720752108,74.0540516855421,34.83591441591665,-25.68807279247892,4.0,74.06545590291877,0.12599999109903973,1,1,1.0,1.0,1.276764540628581,-0.07253885466305676,-0.04787235830152892,0.020827333045811785,29.54543853593593,1.2420054666970428,0.08735618982217774,3.458248340222579,98.17518248175182,96.33273703041145,98.8138686131387,97.58928571428571,68.38824577025824,91.45146927871772,61.887800534283166,31.70080142475512,85.67615658362989,90.17857142857143,82.01941188598032,18.86120996441281,61.56583629893239,28.740875912408757,79.59001782531195,97.06405693950177,57.16439938811353,AU,4.0,Viridis Mining and Minerals Limited,Basic Materials
DELL,394.3900146484375,1.6670719982110938,22.73502757500989,1.0906037381569549,1.700780409654986,68.97703608435789,74.5063381098308,49.04445579506835,-31.022963915642112,4.0,76.8299396802709,21.122665405273438,1,1,1.0,1.0,1.372365382043686,-0.15359682830954058,-0.06300631674927148,61032.442990242016,38.81579099777527,1.5400583544541104,0.18896705834518945,1.463317891999297,81.2956204379562,99.46332737030411,89.32481751824818,99.375,64.38112199465716,91.98575244879787,67.14158504007123,35.707925200356186,85.67615658362989,94.55357142857143,80.89048780225923,13.523131672597867,99.73309608540926,39.324817518248175,90.28520499108734,99.55516014234875,68.48428208193829,US,5.0,Dell Technologies Inc.,Technology
HPE,49.20000076293945,1.470250630238865,4.916029647404577,0.7146031848104433,1.343457195266856,70.46323843281942,74.63280333405433,64.25651103905108,-29.536761567180573,4.0,85.25286511617803,2.247333780924479,1,1,1.0,1.0,1.5573636137102338,-0.12377561129248194,0.1431226699902275,165490.27391695345,65.3539367539971,3.910126753592443,0.19196443336380709,1.3609013685792326,79.01459854014598,97.76386404293382,84.12408759124088,99.01785714285715,65.44968833481745,92.16384683882458,72.3953695458593,34.6393588601959,85.67615658362989,98.30357142857142,80.85483989090764,98.84341637010677,99.8220640569395,76.36861313868614,99.46524064171123,99.644128113879,94.82869246426453,US,5.0,Hewlett Packard Enterprise Company,Technology
SPL.AX,0.7549999952316284,6.273419053256242,4.408606748820247,7.0898878210467675,0.8641975136032884,100.0,97.67442053882051,97.81867374622027,-0.0,4.0,99.18699257907572,0.018999997774759927,1,1,1.0,1.0,0.9672083287197955,0.0,0.07857144012743134,112.48180343573691,92.30769936149669,0.9599422899126886,0.08483752314115,3.860242859569598,98.90510948905109,97.49552772808586,99.27007299270073,98.125,93.36598397150489,100.0,82.90293855743545,6.723063223508459,85.67615658362989,35.44642857142858,79.7910281117345,96.35231316725978,97.06405693950177,98.35766423357664,51.247771836007125,96.88612099644128,87.98158543455732,AU,6.0,Starpharma Holdings Limited,Healthcare
CBE.AX,0.3199999928474426,3.595909493000426,1.381255269735038,3.891304208743888,0.6842105098048072,73.91304122477703,69.56521964478863,79.54544867872019,-26.08695877522297,4.0,91.3043470749257,0.016333329677581786,1,1,1.0,1.0,1.0899095989202048,-0.08571429057997104,0.18518511159920692,489.86896646500463,72.72726780126834,1.508686885288824,0.1494023161001823,2.4669936234191887,95.16423357664233,93.02325581395348,97.17153284671532,97.5,67.8539626001781,86.1086375779163,77.38201246660729,32.235084594835264,85.67615658362989,65.53571428571429,79.76505903461923,99.37722419928826,98.13167259786478,85.03649635036497,89.57219251336899,98.93238434163702,94.2099940005048,AU,7.0,Cobre Limited,Basic Materials
GNP.AX,10.079999923706055,4.072906977856987,1.6243590866079916,1.754800533248559,0.30768356635191507,75.32462063601369,55.62913719067977,63.99100704263944,-24.675379363986305,4.0,66.23371529824806,0.201333491007487,1,1,1.0,1.0,1.412934432966322,-0.018500538032010017,0.06105262354800578,0.013885305591227732,73.77046489231307,0.799786734477068,0.03213794752020416,2.7152005360244136,95.8029197080292,93.82826475849731,93.61313868613139,90.80357142857143,69.99109528049866,55.38735529830811,72.30632235084596,30.09795191451469,85.67615658362989,95.98214285714286,78.34889188661695,93.59430604982207,60.40925266903915,86.4963503649635,26.11408199643494,81.40569395017793,69.60393700608752,AU,13.0,GenusPlus Group Ltd,Industrials
SIQ.AX,11.920000076293945,2.05771462006204,1.5929870028779636,0.5609675585596212,0.45365857970211176,100.0,68.82352050201365,244.0722967060811,-0.0,4.0,86.6666158040365,0.12266674041748046,1,1,1.0,1.0,1.0533282878844037,0.0,0.04653202080734764,0.29080785560714606,81.17640591007876,0.8495131376745132,0.06243402438574752,1.6665898214745458,85.67518248175182,93.64937388193202,81.11313868613139,94.91071428571428,93.36598397150489,84.06055209260909,99.73285841495992,6.723063223508459,85.67615658362989,57.410714285714285,78.23177379074562,89.05693950177937,71.79715302491103,92.33576642335767,33.33333333333333,93.59430604982207,76.02349966664069,AU,15.0,Smartgroup Corporation Ltd,Industrials
