symbol,price,ram_raw,ram_score,exp_slope,ret_12_1,ret_3m,stoch_k,stoch_d,rsi,cci,wpr,atr,ma_score,above_ma25,above_ma50,above_ma100,above_ma200,vol_ratio,high_52w_pct,rank_change,market,momentum_score,name,sector,ret_1w,weekly_exp_slope,weekly_rsi,vol_surge,price_vs_ema20,weekly_score,weekly_rank_change
TS0U.SI,0.35499998927116394,1.7265386610433646,1.4874870128313091,-0.0034153577086048,0.39254470318495094,-0.04054058190241916,100.0,33.33333333333332,50.0,93.333333333334,-0.0,0.002666664123535156,1.0,0,0,0.0,1.0,1.1519593440196751,-0.05333336194356286,164,SG,57.79504264371515,OUE Real Estate Investment Trust,Real Estate,0.014285700905079413,0.0793269018533489,66.66666666666666,1.6231491249889212,0.002473946213053413,71.32645077954498,69
C09.SI,8.359999656677246,2.5175335354191617,1.8916760813060653,-0.20714385724216156,0.6612795045054682,-0.07776873371108006,70.27022498988332,73.42340832996113,64.70585760362576,36.24586779601453,-29.729775010116683,0.11333341598510742,3.0,1,1,0.0,1.0,1.044915991356589,-0.13863595451386812,166,SG,57.73893830384949,City Developments Limited,Real Estate,-0.0011947704920629576,0.14074192144984007,48.8371835134224,0.9484096586615107,0.008859163819253446,55.98653137035084,161
5WJ.SI,0.8849999904632568,6.330019620579131,3.8398115866717744,0.5032185171491715,3.5410629745325357,0.17433657120462964,9.09089923890297,5.071122196312996,17.948726570031766,-103.70373931568382,-90.90910076109702,0.021666669845581056,2.0,0,0,1.0,1.0,0.9757943427298266,-0.24358972399584256,177,SG,56.686927145157746,MoneyMax Financial Services Ltd.,Consumer Cyclical,-0.01117317394007622,-0.5457181082730358,42.85715502134696,0.2919497236953775,-0.047675535805767666,21.571070664980795,332
CJLU.SI,0.9850000143051147,2.256234678081044,1.7581554414607616,0.08342515587609331,0.19393546315927335,0.032814195843958505,12.280970821670948,61.01376480963154,43.774663007773526,-53.27937837812112,-87.71902917832905,0.00408634344736735,3.0,0,1,1.0,1.0,1.095920119033681,-0.014999985694885254,178,SG,56.63069216688448,NetLink NBN Trust,Communication Services,-0.010050241623450806,0.03401814540158356,25.000000000000014,2.419834090830582,-0.004032926975892082,53.64475246865866,168
AP4.SI,0.8700000047683716,0.3859720272319011,0.8350544120399015,0.24417953333523348,0.1391273897169103,0.23214363195653354,0.0,7.407397595946894,39.99999403953517,-138.46154598559647,-100.0,0.01499999761581421,3.0,0,1,1.0,1.0,1.4972895384141096,-0.10309280504365892,187,SG,55.70665917808101,Riverstone Holdings Limited,Healthcare,-0.05945946642567057,-0.7730291277721089,21.052618370157518,0.5366942075428556,-0.01588685430357406,13.394175296520586,350
H22.SI,3.0299999713897705,3.3734737472417087,2.329051452618872,0.004495397385879164,1.6022431763813785,0.06667066742765049,0.0,0.0,27.586213983903463,-175.37153557847682,-100.0,0.09800001780192057,1.0,0,0,0.0,1.0,1.2660144306237846,-0.2150258928142924,192,SG,55.05552216347517,Hong Leong Asia Ltd.,Consumer Cyclical,-0.09821426607414918,-0.8502742400765847,9.756138692048339,0.6448391479297837,-0.07920659388987239,4.876475350953081,356
P52.SI,1.5,2.9668911816105625,2.1212925482514913,1.1849290572489104,1.1155340387334323,0.05776693691485324,14.999991059300086,7.564097232601125,25.806441689127382,-42.98245944254743,-85.00000894069991,0.025999991099039714,2.0,0,0,1.0,1.0,0.8739855378504247,-0.13294798643797956,196,SG,54.6527855911423,Pan-United Corporation Ltd,Basic Materials,0.020408143405366452,-0.14771235198646757,66.66666666666666,1.1064494457507559,-0.02349216885756733,55.079407027081444,163
T82U.SI,1.4500000476837158,2.0853367204274047,1.6708285970703067,0.023723471124294983,0.4096175576581391,0.08011722665871956,60.000095367295216,40.00006357819684,52.94116822082568,-25.92579837696276,-39.999904632704784,0.012000020345052083,2.0,0,0,1.0,1.0,0.8468103789452854,-0.05228420997271033,196,SG,54.643142893837776,Suntec Real Estate Investment Trust,Real Estate,-0.006849308357518069,-0.2219561020991394,42.85716718550964,0.9258053359254113,-0.005820714022643614,40.618049832180695,236
G07.SI,15.8100004196167,-0.7112515564229387,0.5687650970175033,0.029455878282719353,-0.3644093747376882,0.009470137976858917,94.73721195207526,94.3240806923168,68.75004967058467,91.88314576094201,-5.26278804792475,0.0339999516805013,4.0,1,1,1.0,1.0,1.0559413791217804,-0.3640070929876221,197,SG,54.55353564078208,Great Eastern Holdings Limited,Financial Services,0.0063653966407959395,0.01662590501746444,81.25014901175405,1.0112079701120797,0.004379826154696342,64.91344550863667,110
J69U.SI,2.2699999809265137,0.7204485408770008,0.9740767076663702,0.0010620069913659363,0.08298236941120196,0.01793720247125674,100.0,94.44444444444444,61.11111111111111,83.64779874213892,-0.0,0.012666654586791993,3.0,1,1,1.0,0.0,0.8476097902885613,-0.04986244512374749,202,SG,54.044674298562725,Frasers Centrepoint Trust,Real Estate,0.013392844313413477,0.010961528379068509,71.42857142857143,1.2388474250159045,0.004127902403429307,68.6417684929707,85
HJDD.SI,1.8899999856948853,,,0.4533000545190648,,0.22287375779285146,19.99999046325229,18.095229710036346,32.07547254688019,-67.29366666954414,-80.00000953674771,0.03799998760223389,1.0,0,0,1.0,0.0,1.2444007818544611,,204,SG,53.773026175361366,h JD HK SDR 10to1,Consumer Cyclical,0.010695176938778195,-0.24030960753160874,53.84615031925166,1.3446096697699954,-0.024474050732095076,52.467794818504316,173
E5H.SI,0.2800000011920929,1.3434293435503952,1.2917226619135111,0.017242463648993168,0.41858549749412965,-0.007486392506825368,27.272751902742574,27.894346325815466,26.31579607807707,19.444459621553733,-72.72724809725743,0.0066666682561238606,0.0,0,0,0.0,0.0,1.4068976258379167,-0.18840579084177222,206,SG,53.57873262762094,Golden Agri-Resources Ltd,Consumer Defensive,0.03703700024404788,2.732683548105671,75.0,0.8187019080059567,-0.026634370961969522,61.176505467991475,132
U10.SI,3.75,3.6058676970847197,2.447802025029774,1.4113417475947765,1.1981717534515202,0.2296042380219312,0.0,8.333343267438432,32.09877706049471,-141.7224722948014,-100.0,0.06400003433227539,2.0,0,0,1.0,1.0,0.577214428475594,-0.12790701542756655,206,SG,53.46815184901442,UOB-Kay Hian Holdings Limited,Financial Services,-0.010554079750826784,-0.2712339934488995,45.454555306540904,0.5589594325473025,-0.03559858544328609,26.685952662499766,315
