symbol,price,ram_raw,exp_slope,ret_12_1,ret_3m,stoch_k,rsi,cci,wpr,ma_score,stoch_d,atr,above_ma25,above_ma50,above_ma100,above_ma200,ram_score,rank_ram_score,rank_exp_slope,rank_ret_12_1,rank_ret_3m,rank_stoch_k,rank_rsi,rank_cci,rank_wpr,rank_ma_score,momentum_score,market,name
F9D.SI,2.0199999809265137,2.823623295826659,0.11823987122696682,1.1372370038661872,-0.03809520349480777,0.0,26.744184112342808,-115.6218915882536,-100.0,1.0,0.0,0.06533333460489908,0,0,0.0,1.0,2.490681649609857,94.86761710794298,82.59493670886076,88.32858885725905,54.96453900709219,12.266401590457257,10.256410256410255,16.73956262425447,87.77335984095429,49.510188087774296,55.25573378677839,SG,Boustead Singapore Limited
AP4.SI,0.8700000047683716,0.38597173791235817,0.24417953333523348,0.13912728376671013,0.23214363195653354,0.0,39.99999403953517,-138.46154598559647,-100.0,3.0,7.407397595946894,0.01499999761581421,0,1,1.0,1.0,0.9037122143939659,56.41547861507128,85.95727848101265,52.419682797885315,89.87391646966115,12.266401590457257,29.38701923076923,9.383697813121273,87.77335984095429,73.31504702194357,55.19909798454179,SG,Riverstone Holdings Limited
HPCD.SI,3.4600000381469727,,0.5104278716072309,,0.026706277639223064,9.09089923890297,43.66197608761717,-89.00343090775235,-90.90910076109702,2.0,12.121198985203966,0.04933331807454427,0,0,1.0,1.0,,,89.9129746835443,,70.2915681639086,28.071570576540754,38.06089743589743,25.32803180914513,71.96819085487077,62.38244514106584,55.14509695213898,SG,h PetroCN HK SDR 1to2
N2IU.SI,1.2699999809265137,0.9635154123147097,-0.22600720116772594,0.13975310875010138,-0.07929642158633976,75.0,60.0,23.10231023102292,-25.0,1.0,75.0,0.006666660308837891,1,0,0.0,0.0,1.2718784488209554,74.0122199592668,31.88291139240506,52.54168361122408,46.17809298660362,72.68389662027833,76.18189102564102,62.82306163021869,27.355864811133202,49.510188087774296,54.7966455693939,SG,Mapletree Pan Asia Commercial Trust
8C8U.SI,1.090000033378601,,-0.006541867573550596,,-0.009090900224102638,83.33336644699067,45.45455038054851,45.95962277891646,-16.666633553009337,1.0,37.30158212053428,0.015333334604899088,0,0,0.0,1.0,,,58.38607594936709,,60.20488573680063,77.21669980119285,42.44791666666667,69.50298210735586,22.82306163021869,49.510188087774296,54.29882999705372,SG,Centurion Accommodation REIT
HJDD.SI,1.8899999856948853,,0.4533000545190648,,0.22287375779285146,19.99999046325229,32.07547254688019,-67.29366666954414,-80.00000953674771,1.0,18.095229710036346,0.03799998760223389,0,0,1.0,0.0,,,89.28006329113924,,89.36170212765957,35.188866799204774,15.865384615384615,33.359840954274354,64.85089463220676,49.510188087774296,53.916705786806226,SG,h JD HK SDR 10to1
F34.SI,3.430000066757202,1.309063759147466,0.09251188655073139,0.27368565240180764,0.029456344899281728,11.764697632573036,32.03882753528251,-95.79830181799241,-88.23530236742697,1.0,19.368711366410555,0.06866661707560222,0,0,0.0,1.0,1.4982929675057106,81.26272912423626,81.44778481012658,63.155754371695814,71.00078802206463,29.463220675944335,15.825320512820513,22.38568588469185,70.57654075546719,49.510188087774296,53.84755691609127,SG,Wilmar International Limited
OYY.SI,1.7899999618530273,2.0773358684264855,-0.09810127118657606,0.824811210740289,0.013881751265815367,14.285689957306076,33.33330021964311,-72.64152329712792,-85.71431004269392,1.0,14.285689957306076,0.009333332379659018,0,1,0.0,0.0,2.001689847958798,90.4276985743381,43.235759493670884,83.57055713704759,68.04570527974784,30.894632206759443,16.666666666666664,31.530815109343933,69.1451292246521,49.510188087774296,53.669683531111204,SG,PropNex Limited
E5H.SI,0.2800000011920929,1.3434293435503952,0.017242463648993168,0.41858549749412965,-0.007486392506825368,27.272751902742574,26.31579607807707,19.444459621553733,-72.72724809725743,0.0,27.894346325815466,0.0066666682561238606,0,0,0.0,0.0,1.5208104164335605,81.87372708757637,75.4746835443038,71.53314355429036,60.67769897557132,40.5168986083499,10.016025641025642,61.63021868787276,59.52286282306163,21.297021943573668,53.61580898506949,SG,Golden Agri-Resources Ltd
BS6.SI,3.5399999618530273,2.7833717409476044,0.17218999387820466,0.885539053018213,-0.12041595875008593,16.666650109821553,22.7847963738634,-98.96241540083723,-83.33334989017844,1.0,5.555550036607175,0.053333314259847005,0,0,0.0,1.0,2.4643075213358037,94.74541751527495,84.21677215189874,84.46522976819845,37.94326241134752,32.68389662027833,7.131410256410256,21.312127236580515,67.3558648111332,49.510188087774296,53.262685428766254,SG,Yangzijiang Shipbuilding (Holdings) Ltd.
