symbol,price,ram_raw,ram_score,exp_slope,ret_12_1,ret_3m,stoch_k,stoch_d,rsi,cci,wpr,atr,ma_score,above_ma25,above_ma50,above_ma100,above_ma200,market,momentum_score,name
GXH.NZ,2.059999942779541,1.786197653671267,1.8109266179542693,0.3602239565356959,0.9671751363661991,0.8080371473232877,100.0,100.0,87.50600130280709,125.27843880576496,-0.0,0.05553332169850667,4.0,1,1,1.0,1.0,NZ,82.13931378186165,Green Cross Health Limited
TEM.NZ,7.739999771118164,3.8349448342164525,3.1533324232246867,0.6804345296840538,0.8569437280828942,0.20466918931451383,72.2432739674119,80.2280901191972,57.128303688010554,108.6638804564665,-27.7567260325881,0.06939999262491862,4.0,1,1,1.0,1.0,NZ,78.64348918277082,Templeton Emerging Markets Investment Trust plc
FCG.NZ,4.460000038146973,2.1711189785351683,2.063139592779293,0.6079591067891279,0.5462620610761675,0.13934744988532288,100.0,97.61910438543013,69.99996821087633,98.98997196774864,-0.0,0.02000001271565755,4.0,1,1,1.0,1.0,NZ,78.61158908544407,Fonterra Co-operative Group Limited
PEB.NZ,0.30000001192092896,1.081662592491821,1.3492923249947246,0.03651612815116184,0.8333333074632621,0.5151515835682337,100.0,75.61904944854251,62.49999689559232,202.45106881946964,-0.0,0.014333336551984151,4.0,1,1,1.0,1.0,NZ,78.03082280620333,Pacific Edge Limited
FCT.NZ,7.840000152587891,1.9760831361612612,1.9353457636896207,0.15200972898738618,0.3436753459205828,0.1130401393622833,100.0,91.22803935494824,71.95119752835869,108.5357708582056,-0.0,0.06400006612141927,4.0,1,1,1.0,1.0,NZ,76.77491771859002,F&C Investment Trust PLC
LIC.NZ,1.2100000381469727,1.5772288344877345,1.6740034491727362,0.7041681687852922,0.32233596775049067,0.18627456938565135,90.9091106130818,93.16018506240032,93.75000931322074,48.85678076652574,-9.090889386918205,0.00733333428700765,4.0,1,1,1.0,1.0,NZ,76.76211392690078,Livestock Improvement Corporation Limited
GNE.NZ,2.640000104904175,1.0108546051808704,1.3028966280886576,0.05895840186654572,0.16083078883079827,0.19457016259499516,100.0,100.0,74.19356823464084,151.93817060628544,-0.0,0.02133332888285319,4.0,1,1,1.0,1.0,NZ,74.79641076466343,Genesis Energy Limited
PHL.NZ,0.6800000071525574,0.5312425196344118,0.9887668045000363,0.16526633706985308,0.22666668891906738,0.4468085295261437,94.28572012453624,96.19048008302416,92.30767349755881,96.20511723693501,-5.714279875463767,0.013666673501332601,4.0,1,1,1.0,1.0,NZ,74.69337485809316,Promisia Healthcare Limited
BIT.NZ,3.4000000953674316,1.4344918944297775,1.5804775623381548,0.34343251229514177,0.2522726715326171,0.13963386454479365,80.00003178912367,91.11112523961053,62.79068993775623,77.33341425105557,-19.999968210876332,0.030666716893514,4.0,1,1,1.0,1.0,NZ,73.94286982107621,Bankers Ord
MPG.NZ,1.2000000476837158,0.6121669402345704,1.0416634993767002,20680.77816605212,23.26713318979888,-0.18918916741977942,100.0,100.0,97.61905032220562,95.86817893978157,-0.0,0.014000002543131511,4.0,1,1,1.0,1.0,NZ,73.8245113913836,Metro Performance Glass Limited
IFT.NZ,15.420000076293945,1.535612974717902,1.646735383948858,1.7479490465940555,0.47008150090642475,0.434418611748274,34.0909263319198,21.21213434812937,52.316077285557114,-23.80027906731827,-65.9090736680802,0.24600003560384115,4.0,1,1,1.0,1.0,NZ,72.20040979701466,Infratil Limited
VNT.NZ,7.539999961853027,1.580745861679969,1.6763079198097102,0.14415148308393744,0.41925947488907633,0.07868386391189852,62.79071830556403,74.44903341894481,59.374993015079234,31.282823138857843,-37.20928169443597,0.09266665776570639,4.0,1,1,1.0,1.0,NZ,71.95172408432812,Ventia Services Group Limited
IKE.NZ,1.2300000190734863,0.8220745655412937,1.1792018044726413,0.6455337114994409,0.3351063812923085,0.2551020358513416,100.0,93.75000931322074,50.0,94.79157353455844,-0.0,0.011666671435038248,4.0,1,1,1.0,1.0,NZ,71.9487856567511,ikeGPS Group Limited
AFT.NZ,3.9100000858306885,0.9205510318565887,1.243726788970236,0.004639705309826829,0.2854268488015803,0.12034386107342598,88.46154904224503,96.15384968074835,82.81251280568807,40.73557488262573,-11.538450957754977,0.04599998792012532,4.0,1,1,1.0,1.0,NZ,71.79344887941642,AFT Pharmaceuticals Limited
HFL.NZ,6.269999980926514,1.9768096918852986,1.9358218266372909,0.2205890760428445,0.38660367018418196,0.06089875034118397,56.66665607029211,74.44440559107106,53.81264657682249,14.189165484716508,-43.33334392970789,0.06319999694824219,4.0,1,1,1.0,1.0,NZ,70.39082578659415,Henderson Far East Income Limited
HGH.NZ,1.2300000190734863,1.9921795416224872,1.9458926522175584,-0.09225372234833805,0.5553575435553837,-0.019920299803290464,84.00001525878906,89.33334350585938,70.51280444583148,95.31766310589003,-15.999984741210938,0.026000014940897622,4.0,1,1,1.0,1.0,NZ,70.3109276091147,Heartland Group Holdings Limited
MCY.NZ,7.059999942779541,1.0044720398930844,1.298714563665969,0.3835988970277778,0.1963282911092683,0.09627327329973312,61.53846153846154,51.28205128205128,50.64933536866681,79.5454102114334,-38.46153846153846,0.0526666005452474,4.0,1,1,1.0,1.0,NZ,69.75523325937068,Mercury NZ Limited
MFB.NZ,0.2800000011920929,0.3731450625532947,0.8969000712330598,0.36754958530759746,0.18780790882730214,0.3225956897015303,64.92762308256914,74.19364778749146,67.76330597243972,-10.733607566130676,-35.07237691743085,0.004749188820521037,4.0,1,1,1.0,1.0,NZ,69.30317861348311,My Food Bag Group Limited
AFI.NZ,7.880000114440918,0.4880088263925859,0.961826143654785,0.0056071764670576766,0.07022123308467054,0.13544669300722445,100.0,,,466.66666666666714,-0.0,0.06266667048136393,4.0,1,1,1.0,1.0,NZ,68.8278630190112,Australian Foundation Investment Company Limited
TCM.NZ,0.25,,,,,,83.33334575097025,91.66667287548512,68.42105675932578,81.09756785295541,-16.666654249029747,0.006333331267038981,3.0,1,1,1.0,,NZ,68.41152790874716,Taiko Critical Minerals Limited
POT.NZ,8.239999771118164,1.5940667791278444,1.6850362182954206,0.08989197800067569,0.28112521977513527,0.028714049396280084,68.74985098824595,54.58328366274862,48.245616236551314,61.634982470977405,-31.250149011754047,0.08533337910970053,4.0,1,1,1.0,1.0,NZ,68.2454071498076,Port of Tauranga Limited
GNZ.NZ,2.059999942779541,0.3518301465348648,0.8858042135233404,0.034170752953770624,0.06951128845459653,0.07118087733211764,100.0,86.11111111111109,59.67741935483871,148.93617021276614,-0.0,0.023333311080932617,4.0,1,1,1.0,1.0,NZ,68.09115940147858,Goodman Property Trust
SCT.NZ,2.549999952316284,0.8552164551221204,1.2009174487421768,-0.10792856561842358,0.3733783810721678,-0.0013986333913919013,100.0,96.49123247310263,63.41461854489101,135.08767614953769,-0.0,0.030000003178914388,4.0,1,1,1.0,1.0,NZ,67.56791355660613,Scott Technology Limited
THL.NZ,2.4700000286102295,0.7957035655559691,1.1619226673456946,-0.09611356800713533,0.571316143166863,0.0019155476278620576,71.87499417923486,80.72915095060081,63.11474592895559,61.397133671966294,-28.125005820765136,0.08133336702982584,4.0,1,1,1.0,1.0,NZ,66.85186121338012,Tourism Holdings Limited
DOW.NZ,5.650000095367432,1.4369395816461896,1.5820813666337747,0.058508923644418856,0.05724297752032004,0.0,,,,,,0.0,2.0,0,0,1.0,1.0,NZ,66.66052935585185,Downer EDI Ltd
NZK.NZ,0.24500000476837158,0.04326084511164175,0.7512570694993518,0.23371478172921337,0.02272725117600638,0.16666672579826058,77.77779985357127,85.18519990238084,66.66667328940602,42.54145310533143,-22.222200146428737,0.004999999205271403,4.0,1,1,1.0,1.0,NZ,66.4153309991697,New Zealand King Salmon Investments Limited
TGG.NZ,2.440000057220459,1.116708150579724,1.3722553148027807,-0.0813695796382111,0.33888897204104995,-0.1062270915116873,100.0,97.22222774116511,83.3333554091195,136.5853079392837,-0.0,0.012666670481363933,3.0,1,1,0.0,1.0,NZ,66.1528411157754,T&G Global Limited
MCK.NZ,3.4100000858306885,0.3396293997114388,0.8795755800827835,-0.07300094653463658,0.07720033846096874,0.055942775555652524,100.0,99.09910026013392,84.4444609277025,77.7778318990743,-0.0,0.030000003178914388,4.0,1,1,1.0,1.0,NZ,65.41469115265298,Millennium & Copthorne Hotels New Zealand Limited
MEL.NZ,5.909999847412109,0.32529038704144303,0.872366384846955,0.0644762335500067,0.07370554849870325,0.061803784335959344,100.0,66.66666666666669,54.41176161221489,75.96874123587187,-0.0,0.04933331807454427,4.0,1,1,1.0,1.0,NZ,65.26711155911924,Meridian Energy Limited
SKL.NZ,5.929999828338623,1.4993779106690766,1.6229929911366103,0.28411077538058677,0.36850958786083066,0.0714715827784107,31.24995343389625,29.16667287548049,46.03173161490335,-13.33355391116892,-68.75004656610375,0.09066667556762695,3.0,0,1,1.0,1.0,NZ,65.21217664642415,Skellerup Holdings Limited
CHI.NZ,3.130000114440918,2.384597030243583,2.2030173574114986,0.5340918776159327,0.5945143618023596,0.13394184305458934,4.347925240232613,11.594294540215001,46.774196029330106,-98.71790071286185,-95.65207475976739,0.04266665776570638,3.0,0,1,1.0,1.0,NZ,65.05642092045288,Channel Infrastructure NZ Limited
FRW.NZ,13.670000076293945,0.9780543204431461,1.2814048144258674,-0.0924242854813165,0.23676860157715174,-0.008701949665774866,86.1385830102487,95.3795276700829,59.832632310216,85.30463560765766,-13.861416989751309,0.17666683197021485,4.0,1,1,1.0,1.0,NZ,64.9687970496646,Freightways Group Limited
PFI.NZ,2.4000000953674316,0.717686855509034,1.1108035807792227,0.08404093525200235,0.15077160584344051,0.039376155204562835,63.63644245232718,69.6970353769393,46.39177284882806,39.25238746829576,-36.36355754767282,0.029830773671468098,4.0,1,1,1.0,1.0,NZ,63.87621643943344,Property For Industry Limited
PYS.NZ,0.24500000476837158,0.8173691273531788,1.1761186482881942,-0.03171760017373078,0.5,0.0,100.0,100.0,60.00002384186644,103.03037199434587,-0.0,0.0019999990860621133,1.0,1,0,0.0,0.0,NZ,63.82389938145559,PaySauce Limited
CVT.NZ,0.7049999833106995,0.3656967760073195,0.8929912743553485,0.0015433513365765129,0.27777772258829403,0.03676467043408915,64.2856595467492,83.33331914174978,48.78048922319172,40.579622259056094,-35.71434045325079,0.013666669527689615,4.0,1,1,1.0,1.0,NZ,63.07949428885857,Comvita Limited
TWR.NZ,1.940000057220459,2.8939488072692265,2.536761212630411,0.09894709533131013,0.5619183627652391,0.06593406665384194,26.31579827953859,21.886671480500187,25.0,-10.823042847418469,-73.68420172046142,0.032000001271565756,2.0,0,0,1.0,1.0,NZ,61.65511903558507,Tower Limited
NZM.NZ,1.149999976158142,0.015363721461021596,0.7410803281410212,0.007279209507327881,0.0038819230009461414,0.004366703567751484,84.61538461538461,52.93040293040292,48.648648648648646,127.70270270270296,-15.384615384615385,0.012999987602233887,4.0,1,1,1.0,1.0,NZ,60.80090737415787,NZME Limited
SPN.NZ,8.75,1.4399651886139213,1.5840638427521159,-0.08094601652034916,0.2892594562167714,-0.013528735863283292,35.897492327819144,64.18485310288803,58.823532411685626,-86.95653776391289,-64.10250767218085,0.1339999516805013,4.0,1,1,1.0,1.0,NZ,60.245304436112264,South Port New Zealand Limited
CEN.NZ,9.600000381469727,0.7038520348954099,1.1017385562203301,0.04588643928669568,0.12221418050619559,0.03225808436366906,40.62507450587702,38.541691501959,43.04635301503332,12.534597507687858,-59.37492549412298,0.10666656494140625,3.0,0,1,1.0,1.0,NZ,59.71743313993721,Contact Energy Limited
SCL.NZ,6.0,1.7598420376877564,1.7936575609258039,0.012858879432725649,0.44906322537735655,0.0,37.500024835242996,48.61111387058255,46.835434633548054,-44.176662528334646,-62.499975164757004,0.055333391825358076,1.0,0,0,0.0,1.0,NZ,59.69800027531139,Scales Corporation Limited
2CC.NZ,0.6299999952316284,-0.3661273828590278,0.6252552728566789,-0.008602292201746244,-0.13905034330395882,0.046949066450705956,100.0,100.0,58.93335307550812,162.52018605087395,-0.0,0.006977597872416179,4.0,1,1,1.0,1.0,NZ,59.502237237424914,2 Cheap Cars Group Limited
