symbol,price,ram_raw,exp_slope,ret_12_1,ret_3m,stoch_k,rsi,cci,wpr,ma_score,stoch_d,atr,above_ma25,above_ma50,above_ma100,above_ma200,ram_score,rank_ram_score,rank_exp_slope,rank_ret_12_1,rank_ret_3m,rank_stoch_k,rank_rsi,rank_cci,rank_wpr,rank_ma_score,momentum_score,market,name
EVZ.AX,0.7350000143051147,3.887871972674649,12.394066762874994,2.4763436933848038,1.6687499411603728,100.0,85.45453954334178,118.7165872671177,-0.0,4.0,100.0,0.019000001748402915,1,1,1.0,1.0,3.1880120062387935,97.35234215885947,99.12974683544303,95.20130134200895,99.44838455476753,92.42544731610339,98.87820512820514,89.50298210735586,7.614314115308152,89.1653605015674,85.41312045106878,AU,EVZ Limited
SPL.AX,0.7549999952316284,6.273419053256242,4.408606748820247,7.0898878210467675,0.8641975136032884,100.0,97.67442053882051,97.81867374622027,-0.0,4.0,99.18699257907572,0.018999997774759927,1,1,1.0,1.0,4.0,99.38900203665987,98.0617088607595,99.26799511996747,98.3845547675335,92.42544731610339,100.0,84.29423459244532,7.614314115308152,89.1653605015674,85.40029081226051,AU,Starpharma Holdings Limited
CXU.AX,0.05700000002980232,4.863849745936218,4.441281876684574,7.5714281152705905,0.965517298964061,100.0,60.869566977925466,188.68314681547102,-0.0,4.0,84.61538241107088,0.00360000009338061,1,1,1.0,1.0,3.8275043950910788,98.37067209775967,98.14082278481013,99.34932899552665,98.58156028368793,92.42544731610339,77.84455128205127,97.17693836978131,7.614314115308152,89.1653605015674,84.2965550829551,AU,Cauldron Energy Limited
KLV.AX,0.07599999755620956,3.441637907591582,16.659233510117435,4.7777781457077,1.8148146512904164,94.99998975545145,64.51612089166616,109.4748484508739,-5.00001024454855,4.0,98.33332991848381,0.002266666789849599,1,1,1.0,1.0,2.8956249293142893,96.65987780040733,99.2879746835443,98.332655551037,99.52718676122932,83.1013916500994,83.53365384615384,87.79324055666004,16.938369781312126,89.1653605015674,83.8155234591123,AU,KLEVO FPO [KLV]
ELS.AX,7.619999885559082,5.9272612193756595,3.373245738318701,5.386792779605404,0.3905109231819692,93.74999426878395,75.59523395602682,84.68039495887315,-6.250005731216054,4.0,85.09614840884632,0.24733333587646483,1,1,1.0,1.0,4.0,99.38900203665987,97.8243670886076,98.77999186661245,93.89282899921197,82.26640159045726,94.51121794871796,80.71570576540755,17.773359840954274,89.1653605015674,83.81313729313293,AU,Elsight Limited
TEA.AX,8.229999542236328,2.181728184779184,5.327667999646114,1.0421344708776377,0.9693739707162827,100.0,86.14864951942532,121.13864061906332,-0.0,4.0,99.2559636581929,0.20133326848347982,1,1,1.0,1.0,2.070091089863227,91.73116089613035,98.29905063291139,87.23058153721026,98.66036249014972,92.42544731610339,99.03846153846155,89.9403578528827,7.614314115308152,89.1653605015674,83.78945520896943,AU,Tasmea Limited
CBE.AX,0.3199999928474426,3.595909493000426,1.381255269735038,3.891304208743888,0.6842105098048072,73.91304122477703,69.56521964478863,79.54544867872019,-26.08695877522297,4.0,91.3043470749257,0.016333329677581786,1,1,1.0,1.0,2.9967086910432466,96.94501018329939,94.89715189873418,97.60065067100447,97.51773049645391,71.80914512922465,89.82371794871796,79.4831013916501,28.230616302186878,89.1653605015674,82.83027605809322,AU,Cobre Limited
VMM.AX,3.5799999237060547,5.500876610171144,2.630978446024675,5.769231286509757,0.696682512651722,74.31192720752108,74.0540516855421,34.83591441591665,-25.68807279247892,4.0,74.06545590291877,0.12599999109903973,1,1,1.0,1.0,4.0,99.38900203665987,97.15189873417721,98.9019926799512,97.63593380614657,72.04771371769384,93.22916666666666,65.64612326043738,27.992047713717692,89.1653605015674,82.35102656855753,AU,Viridis Mining and Minerals Limited
CNQ.AX,0.5600000023841858,1.6590866024769881,0.5341435227595955,1.5000000931322597,0.31764702747437457,93.93939941273166,80.85106814700941,130.22077277591555,-6.060600587268339,4.0,93.93939941273167,0.017333332697550455,1,1,1.0,1.0,1.727639321865438,86.92464358452139,90.18987341772153,91.56161041073607,92.63199369582348,82.42544731610339,97.27564102564102,91.80914512922466,17.61431411530815,89.1653605015674,82.17755879962745,AU,Clean TeQ Water Limited
RMI.AX,0.0820000022649765,1.776471931577338,19.553397096416987,2.0000000980339583,1.6451614066167646,80.95238264185458,80.6451527620855,52.41546980034445,-19.047617358145416,4.0,84.95513593685386,0.0024666671951611837,1,1,1.0,1.0,1.8045540084281573,88.0244399185336,99.40664556962025,93.98129320862138,99.40898345153664,75.90457256461232,97.15544871794873,71.80914512922465,24.135188866799204,89.1653605015674,82.11011976982935,AU,Resource Minerals International Ltd
